name_from;name_to;distance;price1;price2;price3;price4;price5
PEAGE DE MONTPELLIER ST JEAN;SETE;;1.7;2.9;3.9;4.6;0.9
PEAGE DE MONTPELLIER ST JEAN;AGDE PEZENAS;;3.9;6.0;9.7;11.6;2.4
PEAGE DE MONTPELLIER ST JEAN;PEAGE DE BEZIERS CABRIALS;;4.9;7.5;11.8;15.3;3.2
PEAGE DE MONTPELLIER ST JEAN;BEZIERS OUEST;;6.1;9.7;13.6;18.2;3.7
PEAGE DE MONTPELLIER ST JEAN;NARBONNE EST;;9.7;14.7;21.5;27.5;5.6
PEAGE DE MONTPELLIER ST JEAN;NARBONNE SUD;;9.9;14.9;21.8;27.9;5.8
PEAGE DE MONTPELLIER ST JEAN;SIGEAN;;12.4;19.3;28.4;35.4;7.4
PEAGE DE MONTPELLIER ST JEAN;LEUCATE;;13.2;20.6;29.3;38.5;7.9
PEAGE DE MONTPELLIER ST JEAN;PERPIGNAN NORD;;16.9;25.9;37.5;48.5;10.1
PEAGE DE MONTPELLIER ST JEAN;PERPIGNAN SUD;;17.1;26.1;37.7;48.7;10.2
PEAGE DE MONTPELLIER ST JEAN;LE BOULOU;;19.9;29.7;43.0;55.1;11.0
PEAGE DE MONTPELLIER ST JEAN;PEAGE DU PERTHUS;;22.3;34.3;49.2;60.9;12.6
PEAGE DE MONTPELLIER ST JEAN;LEZIGNAN;;12.7;19.2;28.8;36.2;7.5
PEAGE DE MONTPELLIER ST JEAN;CARCASSONNE EST;;16.9;25.0;36.0;45.9;10.0
PEAGE DE MONTPELLIER ST JEAN;CARCASSONNE OUEST;;17.3;25.4;36.8;46.4;10.2
PEAGE DE MONTPELLIER ST JEAN;BRAM;;20.1;30.3;43.0;55.1;11.8
PEAGE DE MONTPELLIER ST JEAN;CASTELNAUDARY;;21.1;32.8;48.6;62.3;12.6
PEAGE DE MONTPELLIER ST JEAN;VILLEFRANCHE DE LAURAGAIS;;23.7;36.1;52.9;66.2;13.8
PEAGE DE MONTPELLIER ST JEAN;NAILLOUX;;24.1;36.5;53.3;66.7;14.0
PEAGE DE MONTPELLIER ST JEAN;MAZERES SAVERDUN;;24.6;37.0;54.4;67.2;14.2
PEAGE DE MONTPELLIER ST JEAN;PEAGE DE PAMIERS;;25.1;38.0;55.4;69.5;14.5
PEAGE DE MONTPELLIER ST JEAN;MONTGISCARD;;24.3;36.4;53.5;68.3;14.0
PEAGE DE MONTPELLIER ST JEAN;PEAGE DE TOULOUSE SUD OUEST;;27.3;41.2;60.8;74.3;15.6
SETE;PEAGE DE MONTPELLIER ST JEAN;;1.7;2.9;3.9;4.6;0.9
SETE;AGDE PEZENAS;;2.0;3.3;4.5;6.6;1.2
SETE;PEAGE DE BEZIERS CABRIALS;;3.6;5.6;8.8;10.7;2.1
SETE;BEZIERS OUEST;;4.0;6.0;9.0;11.1;2.4
SETE;NARBONNE EST;;6.3;10.2;14.0;19.3;4.0
SETE;NARBONNE SUD;;6.5;10.4;14.4;19.7;4.2
SETE;SIGEAN;;10.0;15.0;20.9;28.3;5.8
SETE;LEUCATE;;10.5;15.9;22.8;28.9;6.3
SETE;PERPIGNAN NORD;;13.4;21.1;30.1;40.5;8.1
SETE;PERPIGNAN SUD;;13.6;21.4;30.3;40.7;8.3
SETE;LE BOULOU;;16.8;27.0;35.8;48.2;10.3
SETE;PEAGE DU PERTHUS;;18.9;29.3;40.9;53.3;10.8
SETE;LEZIGNAN;;9.9;14.9;21.3;27.5;5.8
SETE;CARCASSONNE EST;;13.7;21.3;29.4;39.9;8.0
SETE;CARCASSONNE OUEST;;14.0;21.8;30.3;40.6;8.2
SETE;BRAM;;17.8;26.5;37.0;48.9;10.0
SETE;CASTELNAUDARY;;17.9;26.9;40.6;54.4;10.4
SETE;VILLEFRANCHE DE LAURAGAIS;;20.7;32.2;43.9;58.2;12.3
SETE;NAILLOUX;;21.4;32.7;44.4;59.6;12.6
SETE;MAZERES SAVERDUN;;21.8;33.2;46.0;60.1;12.9
SETE;PEAGE DE PAMIERS;;22.2;33.7;47.0;60.7;13.2
SETE;MONTGISCARD;;21.5;32.7;45.4;61.7;12.6
SETE;PEAGE DE TOULOUSE SUD OUEST;;24.0;37.1;52.7;68.7;14.0
AGDE PEZENAS;PEAGE DE MONTPELLIER ST JEAN;;3.9;6.0;9.7;11.6;2.4
AGDE PEZENAS;SETE;;2.0;3.3;4.5;6.6;1.2
AGDE PEZENAS;PEAGE DE BEZIERS CABRIALS;;1.0;1.5;2.2;3.1;0.7
AGDE PEZENAS;BEZIERS OUEST;;1.4;2.6;3.2;4.1;0.9
AGDE PEZENAS;NARBONNE EST;;3.7;5.6;8.3;10.0;2.3
AGDE PEZENAS;NARBONNE SUD;;3.9;5.8;8.6;10.5;2.5
AGDE PEZENAS;SIGEAN;;6.6;10.3;14.2;18.5;4.0
AGDE PEZENAS;LEUCATE;;7.7;12.1;16.3;22.7;4.7
AGDE PEZENAS;PERPIGNAN NORD;;10.9;16.9;24.6;31.8;6.6
AGDE PEZENAS;PERPIGNAN SUD;;11.1;17.1;24.9;32.0;6.8
AGDE PEZENAS;LE BOULOU;;13.9;22.2;31.5;40.2;8.5
AGDE PEZENAS;PEAGE DU PERTHUS;;16.2;25.2;35.6;46.1;9.5
AGDE PEZENAS;LEZIGNAN;;7.0;9.9;15.2;19.5;4.0
AGDE PEZENAS;CARCASSONNE EST;;11.0;16.4;23.6;31.2;6.6
AGDE PEZENAS;CARCASSONNE OUEST;;11.3;16.9;24.2;32.2;6.8
AGDE PEZENAS;BRAM;;14.8;21.6;31.4;41.6;8.5
AGDE PEZENAS;CASTELNAUDARY;;15.4;23.7;35.7;46.6;9.2
AGDE PEZENAS;VILLEFRANCHE DE LAURAGAIS;;18.1;26.8;38.7;51.1;10.6
AGDE PEZENAS;NAILLOUX;;18.5;27.6;39.2;51.6;11.2
AGDE PEZENAS;MAZERES SAVERDUN;;18.9;29.1;41.0;54.0;11.7
AGDE PEZENAS;PEAGE DE PAMIERS;;19.1;29.6;42.0;54.5;12.0
