name_from,name_to,distance,price1,price2,price3,price4,price5
ST ETIENNE AU TEMPLE,PEAGE DE ST GERMAIN LES VERGNES,,90.9,139.9,220.6,295.9,52.3
PEAGE DE ST GERMAIN LES VERGNES,ST ETIENNE AU TEMPLE,,90.9,139.9,220.6,295.9,52.3
ST ETIENNE AU TEMPLE,TULLE NORD,,89.2,137.2,216.4,291.8,50.9
TULLE NORD,ST ETIENNE AU TEMPLE,,89.2,137.2,216.4,291.8,50.9
ST ETIENNE AU TEMPLE,TULLE EST,,88.4,135.8,215.5,286.6,50.5
TULLE EST,ST ETIENNE AU TEMPLE,,88.4,135.8,215.5,286.6,50.5
ST ETIENNE AU TEMPLE,EGLETONS,,85.5,131.2,209.0,280.6,48.9
EGLETONS,ST ETIENNE AU TEMPLE,,85.5,131.2,209.0,280.6,48.9
ST ETIENNE AU TEMPLE,USSEL OUEST,,82.6,126.5,203.2,271.3,47.2
USSEL OUEST,ST ETIENNE AU TEMPLE,,82.6,126.5,203.2,271.3,47.2
ST ETIENNE AU TEMPLE,USSEL EST,,80.4,124.3,199.4,265.5,45.8
USSEL EST,ST ETIENNE AU TEMPLE,,80.4,124.3,199.4,265.5,45.8
ST ETIENNE AU TEMPLE,ST JULIEN SANCY,,77.6,119.8,192.8,255.7,44.5
ST JULIEN SANCY,ST ETIENNE AU TEMPLE,,77.6,119.8,192.8,255.7,44.5
ST ETIENNE AU TEMPLE,VULCANIA BROMONT,,75.0,115.5,186.8,248.1,42.8
VULCANIA BROMONT,ST ETIENNE AU TEMPLE,,75.0,115.5,186.8,248.1,42.8
ST ETIENNE AU TEMPLE,MANZAT,,72.7,112.2,181.5,240.5,41.4
MANZAT,ST ETIENNE AU TEMPLE,,72.7,112.2,181.5,240.5,41.4
STE MENEHOULD,PEAGE DE ST GERMAIN LES VERGNES,,93.2,143.7,226.5,303.6,53.8
PEAGE DE ST GERMAIN LES VERGNES,STE MENEHOULD,,93.2,143.7,226.5,303.6,53.8
STE MENEHOULD,TULLE NORD,,91.5,141.0,222.3,299.5,52.4
TULLE NORD,STE MENEHOULD,,91.5,141.0,222.3,299.5,52.4
STE MENEHOULD,TULLE EST,,90.7,139.6,221.4,294.3,52.0
TULLE EST,STE MENEHOULD,,90.7,139.6,221.4,294.3,52.0
STE MENEHOULD,EGLETONS,,87.8,135.0,214.9,288.3,50.4
EGLETONS,STE MENEHOULD,,87.8,135.0,214.9,288.3,50.4
STE MENEHOULD,USSEL OUEST,,84.9,130.3,209.1,279.0,48.7
USSEL OUEST,STE MENEHOULD,,84.9,130.3,209.1,279.0,48.7
STE MENEHOULD,USSEL EST,,82.7,128.1,205.3,273.2,47.3
USSEL EST,STE MENEHOULD,,82.7,128.1,205.3,273.2,47.3
STE MENEHOULD,ST JULIEN SANCY,,79.9,123.6,198.7,263.4,46.0
ST JULIEN SANCY,STE MENEHOULD,,79.9,123.6,198.7,263.4,46.0
STE MENEHOULD,VULCANIA BROMONT,,77.3,119.3,192.7,255.8,44.3
VULCANIA BROMONT,STE MENEHOULD,,77.3,119.3,192.7,255.8,44.3
STE MENEHOULD,MANZAT,,75.0,116.0,187.4,248.2,42.9
MANZAT,STE MENEHOULD,,75.0,116.0,187.4,248.2,42.9
CLERMONT EN ARGONNE,PEAGE DE ST GERMAIN LES VERGNES,,94.8,146.3,228.7,306.0,54.7
PEAGE DE ST GERMAIN LES VERGNES,CLERMONT EN ARGONNE,,94.8,146.3,228.7,306.0,54.7
CLERMONT EN ARGONNE,TULLE NORD,,93.1,143.6,224.5,301.9,53.3
TULLE NORD,CLERMONT EN ARGONNE,,93.1,143.6,224.5,301.9,53.3
CLERMONT EN ARGONNE,TULLE EST,,92.3,142.2,223.6,296.7,52.9
TULLE EST,CLERMONT EN ARGONNE,,92.3,142.2,223.6,296.7,52.9
CLERMONT EN ARGONNE,EGLETONS,,89.4,137.6,217.1,290.7,51.3
EGLETONS,CLERMONT EN ARGONNE,,89.4,137.6,217.1,290.7,51.3
CLERMONT EN ARGONNE,USSEL OUEST,,86.5,132.9,211.3,281.4,49.6
USSEL OUEST,CLERMONT EN ARGONNE,,86.5,132.9,211.3,281.4,49.6
