name_from,name_to,distance,price1,price2,price3,price4,price5
ESCRENNES,PEAGE DE ST GERMAIN LES VERGNES,,54.6,84.2,127.0,173.4,31.8
PEAGE DE ST GERMAIN LES VERGNES,ESCRENNES,,54.6,84.2,127.0,173.4,31.8
ESCRENNES,TULLE NORD,,52.9,81.5,122.8,169.3,30.4
TULLE NORD,ESCRENNES,,52.9,81.5,122.8,169.3,30.4
ESCRENNES,TULLE EST,,52.1,80.1,121.9,164.1,30.0
TULLE EST,ESCRENNES,,52.1,80.1,121.9,164.1,30.0
ESCRENNES,EGLETONS,,49.2,75.5,115.4,158.1,28.4
EGLETONS,ESCRENNES,,49.2,75.5,115.4,158.1,28.4
ESCRENNES,USSEL OUEST,,46.3,70.8,109.6,148.8,26.7
USSEL OUEST,ESCRENNES,,46.3,70.8,109.6,148.8,26.7
ESCRENNES,USSEL EST,,44.1,68.6,105.8,143.0,25.3
USSEL EST,ESCRENNES,,44.1,68.6,105.8,143.0,25.3
ESCRENNES,ST JULIEN SANCY,,41.3,64.1,99.2,133.2,24.0
ST JULIEN SANCY,ESCRENNES,,41.3,64.1,99.2,133.2,24.0
ESCRENNES,VULCANIA BROMONT,,38.7,59.8,93.2,125.6,22.3
VULCANIA BROMONT,ESCRENNES,,38.7,59.8,93.2,125.6,22.3
ESCRENNES,MANZAT,,36.4,56.5,87.9,118.0,20.9
MANZAT,ESCRENNES,,36.4,56.5,87.9,118.0,20.9
AUXY,PEAGE DE ST GERMAIN LES VERGNES,,59.0,90.1,139.2,187.6,33.8
PEAGE DE ST GERMAIN LES VERGNES,AUXY,,59.0,90.1,139.2,187.6,33.8
AUXY,TULLE NORD,,57.3,87.4,135.0,183.5,32.4
TULLE NORD,AUXY,,57.3,87.4,135.0,183.5,32.4
AUXY,TULLE EST,,56.5,86.0,134.1,178.3,32.0
TULLE EST,AUXY,,56.5,86.0,134.1,178.3,32.0
AUXY,EGLETONS,,53.6,81.4,127.6,172.3,30.4
EGLETONS,AUXY,,53.6,81.4,127.6,172.3,30.4
AUXY,USSEL OUEST,,50.7,76.7,121.8,163.0,28.7
USSEL OUEST,AUXY,,50.7,76.7,121.8,163.0,28.7
AUXY,USSEL EST,,48.5,74.5,118.0,157.2,27.3
USSEL EST,AUXY,,48.5,74.5,118.0,157.2,27.3
AUXY,ST JULIEN SANCY,,45.7,70.0,111.4,147.4,26.0
ST JULIEN SANCY,AUXY,,45.7,70.0,111.4,147.4,26.0
AUXY,VULCANIA BROMONT,,43.1,65.7,105.4,139.8,24.3
VULCANIA BROMONT,AUXY,,43.1,65.7,105.4,139.8,24.3
AUXY,MANZAT,,40.8,62.4,100.1,132.2,22.9
MANZAT,AUXY,,40.8,62.4,100.1,132.2,22.9
GONDREVILLE NORD,PEAGE DE ST GERMAIN LES VERGNES,,62.3,94.6,147.8,199.2,35.5
PEAGE DE ST GERMAIN LES VERGNES,GONDREVILLE NORD,,62.3,94.6,147.8,199.2,35.5
GONDREVILLE NORD,TULLE NORD,,60.6,91.9,143.6,195.1,34.1
TULLE NORD,GONDREVILLE NORD,,60.6,91.9,143.6,195.1,34.1
GONDREVILLE NORD,TULLE EST,,59.8,90.5,142.7,189.9,33.7
TULLE EST,GONDREVILLE NORD,,59.8,90.5,142.7,189.9,33.7
GONDREVILLE NORD,EGLETONS,,56.9,85.9,136.2,183.9,32.1
EGLETONS,GONDREVILLE NORD,,56.9,85.9,136.2,183.9,32.1
GONDREVILLE NORD,USSEL OUEST,,54.0,81.2,130.4,174.6,30.4
USSEL OUEST,GONDREVILLE NORD,,54.0,81.2,130.4,174.6,30.4
GONDREVILLE NORD,USSEL EST,,51.8,79.0,126.6,168.8,29.0
USSEL EST,GONDREVILLE NORD,,51.8,79.0,126.6,168.8,29.0
GONDREVILLE NORD,ST JULIEN SANCY,,49.0,74.5,120.0,159.0,27.7
ST JULIEN SANCY,GONDREVILLE NORD,,49.0,74.5,120.0,159.0,27.7
GONDREVILLE NORD,VULCANIA BROMONT,,46.4,70.2,114.0,151.4,26.0
VULCANIA BROMONT,GONDREVILLE NORD,,46.4,70.2,114.0,151.4,26.0
GONDREVILLE NORD,MANZAT,,44.1,66.9,108.7,143.8,24.6
MANZAT,GONDREVILLE NORD,,44.1,66.9,108.7,143.8,24.6
GONDREVILLE SUD,PEAGE DE ST GERMAIN LES VERGNES,,66.8,101.3,158.5,213.3,38.2
PEAGE DE ST GERMAIN LES VERGNES,GONDREVILLE SUD,,66.8,101.3,158.5,213.3,38.2
GONDREVILLE SUD,TULLE NORD,,65.1,98.6,154.3,209.2,36.8
TULLE NORD,GONDREVILLE SUD,,65.1,98.6,154.3,209.2,36.8
GONDREVILLE SUD,TULLE EST,,64.3,97.2,153.4,204.0,36.4
TULLE EST,GONDREVILLE SUD,,64.3,97.2,153.4,204.0,36.4
GONDREVILLE SUD,EGLETONS,,61.4,92.6,146.9,198.0,34.8
EGLETONS,GONDREVILLE SUD,,61.4,92.6,146.9,198.0,34.8
GONDREVILLE SUD,USSEL OUEST,,58.5,87.9,141.1,188.7,33.1
USSEL OUEST,GONDREVILLE SUD,,58.5,87.9,141.1,188.7,33.1
GONDREVILLE SUD,USSEL EST,,56.3,85.7,137.3,182.9,31.7
USSEL EST,GONDREVILLE SUD,,56.3,85.7,137.3,182.9,31.7
GONDREVILLE SUD,ST JULIEN SANCY,,53.5,81.2,130.7,173.1,30.4
ST JULIEN SANCY,GONDREVILLE SUD,,53.5,81.2,130.7,173.1,30.4
GONDREVILLE SUD,VULCANIA BROMONT,,50.9,76.9,124.7,165.5,28.7
VULCANIA BROMONT,GONDREVILLE SUD,,50.9,76.9,124.7,165.5,28.7
