name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
BEYNOST;Beynost;Beynost;45.8206664;4.9939405;2;[143584, 21670932];;close;
BIERRE LES SEMUR;Bierre-lès-Semur;23;47.4365874;4.3094972;2;[289537324, 289537367];;close;
BLERE;Bléré;11;47.2864836;0.9844652;2;[228863617, 2105191531];;close;
BLOIS;Blois;17;47.6215008;1.3464557;2;[95914543, 3722209738];;close;
BOURG NORD;Bourg Nord;5;46.2599489;5.1669614;2;[21760589, 652123095];;close;
BOURG SUD;Bourg Sud;7;46.1456922;5.2862738;2;[25946087, 317802090];;close;
BOURGES;Bourges;7;47.0448918;2.3417968;2;[33148650, 2095595179];;close;
BOURGUEIL;Bourgueil;5;47.2532013;0.166591;2;[101480497, 297326241];;close;
BRIONNE;Brionne;13;49.2420686;0.7724971;1;[1265561526];;close;
BROU;Brou;4;48.2345952;1.0331397;1;[197118807];;close;
BULGNEVILLE;Bulgneville;9;48.2157812;5.8325029;1;[289635259];;close;
CHALON CENTRE;Chalon Centre;25.2;46.8025546;4.829904;8;[1693318417,1693318419,2385615588,2385615592,2385615595,2385615599,2385615601, 9713436538];;close;
CHALON NORD;Chalon Nord;APRR;46.8304241;4.8317434;2;[12171437315, 12171437316];;close;
CHALON SUD;Chalon Sud;26;46.754768;4.8331365;8;[289537479,720744291,2385481454,2385481455,2385481456,2385481457,2385483658, 2385483659];;close;
CHALONS LA VEUVE;Châlons en Champagne-La Veuve;24;49.0428396;4.3217468;4;[30813498,1871925918,3149727734, 3149752422];;close;APRR
CHANTONNAY;Chantonnay;6;46.6272005;-1.1544805;6;[309941699,802033563,4003122683,4003122684,4003122685, 7227010528];;close;
CHARMONT SOUS BARBUISE;Charmont-sous-Barbuise;22;48.4103294;4.1438377;2;[673351722, 3050827007];;close;APRR
CHARTRES EST;Chartres Est;2;48.4551129;1.5391447;4;[264064866,1375535641,1375535646, 1375535663];;close;
CHARTRES THIVARS;Chartres-Thivars;3;48.3634354;1.444326;4;[254662308,1375532385,1375532386, 1560431421];;close;
MONTABON;Montabon;26;47.6860846;0.3714066;1;[472444139];;close;
AMBOISE CHATEAU RENAULT;Amboise-Château-Renault;18;47.5428585;0.9848382;2;[306620171, 11004965800];;close;APRR
CHATEAU THIERRY;Château-Thierry;20;49.0784022;3.3987808;2;[1382180500, 1382180508];;close;
CHATELLERAULT NORD;Châtellerault Nord;26;46.8369794;0.530822;1;[340395444];;close;
CHATELLERAULT SUD;Châtellerault Sud;27;46.7786646;0.50452;1;[340396503];;close;
CHATENOIS;Chatenois;10;48.2994713;5.8529366;1;[1054617575];;close;
CHATILLON LABORDE;Chatillon-La Borde;16;48.5422046;2.7975037;2;[131854822, 261058618];;close;
CHAUMONT SEMOUTIERS;Chaumont-Semoutiers;24;48.0428105;5.0592698;2;[412553203, 540556952];;close;
CHEMILLE;Chemillé;25;47.2359369;-0.7276426;1;[4422613638];;close;
CHOISEY;Choisey;6;47.0646274;5.4468518;2;[410642970, 410650377];;close;
CHOLET NORD;Cholet Nord;26;47.0833658;-0.8280595;2;[292375190, 3587014323];;close;
CHOLET SUD;Cholet Sud;27;47.0189982;-0.880635;2;[292384163, 1838205657];;close;
PEAGE DE CLERMONT;Clermont Barrière;Clermont Barrière;45.8413126;3.1610281;2;[2015469, 26188874];;close;APRR
CLERMONT EN ARGONNE;Clermont-en-Argonne;29.1;49.0944409;5.1017163;2;[307631007, 9241234240];;close;
COLOMBEY LES BELLES;Colombey-les-Belles;11;48.5406483;5.9089246;2;[6283553420, 6283553421];;close;
COMBRONDE;Combronde;12.1;45.9960339;3.1046691;4;[2441958671,2441958683,6289699841, 6311518304];;close;
CONNERRE;Connerré;6;48.075376;0.4793078;2;[8631627001, 8631733684];;close;
COURTENAY;Courtenay;17;48.0597651;3.0952651;2;[260171882, 1820928798];;close;
PEAGE DE DIJON CRIMOLOIS;Péage de Dijon-Crimolois;Péage de Dijon-Crimolois;47.2769114;5.1379222;2;[13835994, 24922276];;close;APRR
DEUX CHAISES;Deux-Chaises;APRR;46.3703031;3.0276811;2;[10601205061, 10601205062];;close;
DIJON ARC SUR TILLE;Dijon-Arc-sur-Tille;4;47.3446742;5.1593268;2;[934821090, 934821205];;close;
PEAGE DE DIJON SUD;Péage de Dijon Sud;Péage de Dijon Sud;47.2612255;5.0333664;3;[27509156,27509158, 31415199];;close;APRR
DOLE;Dole;2;47.1360589;5.5062258;2;[609217653, 609218048];;close;
DORMANS;Dormans;21;49.153751;3.7169903;2;[1830159108, 1830159112];;close;
DOURDAN;La Folie Bessin-Dourdan;10;48.5696351;1.9902419;2;[2814507717, 2814507720];;close;
DURTAL;Durtal;11;47.6678426;-0.2596964;2;[718696359, 718697029];;close;
ECOMMOY;Écommoy;25;47.82037;0.3016977;1;[282351799];;close;
EGLETONS;Egletons;22;45.4073918;2.0211932;1;[921929655];;close;
ELOISE;Eloise;11;46.06516;5.8639647;2;[30781582, 410245598];;close;APRR
REIMS SUD;Péage de Reims Sud;23;49.2051715;4.0065175;2;[1927899111, 1927899628];;close;APRR
ESCRENNES;Escrennes;8;48.11639;2.1911176;2;[461625472, 3736753049];;close;
ESVRES;Esvres;10;47.3071705;0.7960772;1;[61275307];;close;
VAIGES;Vaiges;2;48.0555468;-0.4872759;4;[4690430236,4690430237,8394571417, 8394571418];;close;
FEILLENS;Feillens;2;46.3288346;4.8824112;1;[469060027];;close;
PEAGE DE FLEURY EN BIERE;Péage de Fleury-en-Bière;Péage de Fleury-en-Bière;48.4266295;2.5401807;3;[35675144,1801078049, 1883772392];;close;APRR
FONTAINEBLEAU;Fontainebleau;15;48.2896884;2.6832481;2;[456955619, 650926914];;close;
FONTENAY CENTRE;Fontenay Centre;8;46.4359963;-0.8214534;5;[279217857,4001244320,4001244321,4001244322, 4001244323];;close;ASF
FONTENAY OUEST;Fontenay Ouest;7.1;46.4646302;-0.8767346;5;[1335678463,2241159339,4001244342,4001244343, 4001244344];;close;
FONTENAY SUR LOING;Fontenay-sur-Loing;5;48.0641618;2.7670794;2;[1339371506, 4332104483];;close;
FORET DE TRONCAIS;Forêt-de-Tronçais;9;46.5064795;2.6303355;1;[327506022];;close;
FORGES;Forges;17;48.4213725;2.9432973;2;[323144666, 324391958];;close;
FRESNES EN WOEVRE;Fresnes-en-Woevre;32;49.1291065;5.6212762;2;[1387739267, 3921619586];;close;
FUTUROSCOPE;Futuroscope;28;46.6701286;0.3599572;2;[270647374, 2630513392];;close;
GACE;Gacé;16;48.774355;0.3062189;4;[1042826699,1042826707,3248212729, 3250854437];;close;
GANNAT;Gannat;Gannat;46.0980771;3.1356526;2;[50771124, 429833002];;close;
GENDREY;Gendrey;2.1;47.1835108;5.7088685;2;[2561189904, 2561189908];;close;
GERZAT;Gerzat Ville;14;45.8419673;3.1608014;4;[26189019,360688779,376962116, 376962319];;close;APRR
GIDY;Saran-Gidy;13.1;47.9670494;1.8515589;2;[11380222931, 11380222932];;close;APRR
GONDREVILLE NORD;Gondreville;6;48.0607779;2.6676442;3;[4434463568,4434463569, 6392046370];;close;APRR
GONDREVILLE SUD;Gondreville;6;42.0606642;2.6676092;3;[4434463567,4434463570, 6392046377];;close;APRR
GROISSIAT;Groissiat;Groissiat;46.2237181;5.6140918;7;[18267636,18267637,9247763979,9247763980,9247763981,9247763982, 9247763993];;close;
PEAGE DE GYE;Péage de Gye;Péage de Gye;48.6297148;5.8833117;2;[1482474156, 1482474157];;close;APRR
ILLIERS COMBRAY;Illiers-Combray;3.1;48.294416;1.2702437;2;[4850810028, 4850810029];;close;
ALLAINES;Allaines;12;48.205309;1.8459556;2;[247189294, 303811524];;close;APRR
JARNY;Jarny;33;49.1999154;5.9016705;1;[1575874809];;close;
JOIGNY;Joigny;18;47.9383172;3.244093;4;[140090191,247389529,1430770870, 1825795624];;close;
L ISLE SUR LE DOUBS;L'isle-sur-le-Doubs;6;47.4125179;6.5856079;2;[32699885, 32699891];;close;
PEAGE DE LA BOISSE;Péage de La Boisse;Péage de La Boisse;45.8277301;5.0326389;3;[143602,18169277, 1405960889];;close;APRR
LA BOISSE MONTLUEL;La Boisse-Montuel;5.1;45.8407595;5.0469894;2;[773072337, 773072342];;close;
PEAGE DE LA COTIERE;Péage de la Côtière;Péage de la Côtière;45.83428;5.0314003;3;[727671128,1190068311, 2596549075];;close;APRR
LA CROIX CHALON;La Croix Chalon;9;46.1777171;5.5590084;2;[291568677, 291568687];;close;
LA FERTE BERNARD;La-Ferté-Bernard;5;48.1499662;0.6872078;4;[1679523552,1679523744,1679528040, 3815563832];;close;
LA ROCHE SUR YON;La Roche-sur-Yon;La Roche-sur-Yon;46.6725704;-1.3459591;2;[3025678480, 3025678481];;close;
LA ROCHELLE NIORT SUD;La Rochelle-Niort Sud;33;46.2441045;-0.4606127;8;[277398779,5242792759,5242792767,5540214860,5540214861,5540214862,5540214863, 5540214864];;close;
LA VERRIE;La Verrie;28;46.9446866;-0.9766132;2;[449598015, 806378596];;close;
LAMOTTE BEUVRON;Lamotte-Beuvron;3;47.5817361;1.9910306;1;[370669859];;close;
LANGRES NORD;Langres Nord;7;47.9351554;5.2867691;2;[243763172, 1054674013];;close;
LANGRES SUD;Langres Sud;6;47.7923617;5.2262935;2;[1419329118, 1419329124];;close;
LAVAL EST;Laval Est;3;48.1076995;-0.7384822;3;[264788441,275173451, 4876868264];;close;
LAVAL OUEST;Laval Ouest;4;48.1045802;-0.8343026;2;[287697090, 2782616479];;close;
PEAGE DU BIGNON;Péage du Bignon;Péage-du-Bignon;47.114722;-1.4919985;2;[25959136, 25959780];;close;ASF
LE MANS OUEST;Le Mans Ouest;8;48.0217292;0.1273963;5;[57018993,264386251,8458461696,8458461699, 8458461702];;close;
LE MANS SUD;Le Mans Sud;9;47.9737203;0.0575183;2;[73963126, 7181036266];;close;
LE MANS ZI NORD;Le-Mans-ZI-Nord;7;48.050376;0.1739762;7;[57565041,244893345,8525739242,8525739243,8525739244,8525739245, 8525739246];;close;
LE MIROIR;Le Miroir;9;46.5474715;5.3265684;2;[4415774336, 4415774337];;close;
PEAGE DES EPRUNES;Péage des Eprunes;Péage des Eprunes;48.5891526;2.65705;2;[1389350279, 1389350280];;close;APRR
LES ESSARTS;Les Essarts;5;46.7903968;-1.1946328;6;[279128148,824250288,4003306365,4003306366,4003306367, 4422608089];;close;
LES HERBIERS;Les Herbiers;29;46.9020192;-1.046772;2;[807894118, 807894416];;close;
LONGUE JUMELLES;Longué-Jumelles;2;47.4045141;-0.1159748;4;[1967766750,1967766760,1967766768, 1967766796];;close;
MACON NORD;Mâcon Nord;28;46.365966;4.8393236;2;[211276424, 258934071];;close;
MACON SUD;Mâcon Sud;29;46.2830087;4.7928327;2;[13380042, 13380044];;close;
MAGNANT;Magnant;22;48.1791079;4.4406086;2;[828894371, 1665577393];;close;
MANZAT;Manzat;27;45.9539605;2.9826574;5;[432436227,9291141569,9291141572,9291141575, 9291141583];;close;
MAROLLES SUR SEINE;Marolles-sur-Seine;18;48.3801783;3.0203703;2;[317670287, 317670314];;close;
MER;Mer;16;47.7285632;1.5086201;1;[448438837];;close;
MEUNG SUR LOIRE;Meung-sur-Loire;15;47.832803;1.6690019;1;[303350369];;close;APRR
MIRAMBEAU;Mirambeau;37;45.3777;-0.5796224;2;[494910454, 494910456];;close;
MONT CHOISY;Mont-Choisy;18;48.910712;4.2881712;2;[243198059, 1575767382];;close;
MONTAIGU;Montaigu;4;46.9594945;-1.353045;8;[26589771,275329462,4003307027,4003307028,4003307029,4003307031,4003307032, 4404266838];;close;
MONTIGNY LE ROI;Montigny-le-Roi;8;47.997372;5.5118949;2;[586530226, 1054665949];;close;
MONTLUCON;Montluçon;Montluçon;46.3964311;2.7112613;2;[4330970608, 4330970609];;close;
MONTMARAULT;Montmarault;11;46.3276582;2.9663511;2;[26265393, 239563333];;close;
MONTREUIL AUX LIONS;Montreuil-aux-Lions;19;49.0132565;3.1552689;4;[4390079353,4390079354,4390079355, 4390079356];;close;
NEMOURS;Nemours;16;48.2695319;2.71338;2;[649150142, 649587072];;close;
NIORT EST;Niort Est;11;46.3552904;-0.331188;6;[735016190,3999405516,3999405520,3999405523,3999405525, 3999405529];;close;
NIORT NORD;Niort Nord;10;46.4193233;-0.3969591;4;[901258167,4001139231,4001139234, 4001139239];;close;
NIORT OUEST;Niort Ouest;9;46.3878963;-0.6478799;5;[4001140435,4001140450,4001140454,4001140460, 4001140464];;close;
NITRY;Nitry;21;47.6591113;3.8795829;2;[828809344, 1098856873];;close;
NUITS SAINT GEORGES;Nuits-Saint-Georges;1;47.1309722;4.9672925;2;[57760493, 279441849];;close;
OLIVET;Olivet;2;47.8408587;1.8693513;2;[300994716, 314081185];;close;
ORBEC;Broglie-Orbec;15;49.0344273;0.4432192;2;[81055576, 1042834566];;close;
ORLEANS CENTRE;Orléans Centre;1;47.8982384;1.8531879;3;[250286697,393454821, 11101216886];;close;
ORLEANS NORD;Orléans Nord;14;47.9495887;1.8546514;2;[26209874, 26210037];;close;
PEAGE REIMS NORD;Péage de Reims Nord ;Péage de Reims Nord ;49.2462360;3.9622758;2;[1520347089, 1520347114];;close;APRR
PARIGNE L EVEQUE;Parigné-l’Évêque;24;47.9556467;0.3202046;2;[57345005, 60941644];;close;
PEAGE DE ST ARNOULT;Péage de Saint-Arnoult;Péage de Saint-Arnoult;48.5536289;1.9303383;5;[26209736,26210039,4127019592,4127019613, 8394699087];;close;APRR
PEROUGES;Pérouges;7;45.8607917;5.1812783;2;[1374640112, 1374640131];;close;
POITIERS NORD;Poitiers Nord;29;46.6215062;0.3437828;1;[282069502];;close;
POITIERS SUD;Poitiers Sud;30;46.5489824;0.2892931;2;[459173225, 3634658165];;close;
PONS;Pons;36;45.5744618;-0.5956219;2;[332272132, 431442217];;close;
PONT D AIN;Pont-d'Ain;9;46.0481257;5.3278855;1;[84428307];;close;
PEAGE DE POUILLY EN AUXOIS;Péage de Pouilly-en-Auxois;Péage de Pouilly-en-Auxois;47.2524848;4.5611717;2;[28868663, 58805387];;close;APRR
PEAGE DE REIMS EST;Péage de Reims Est;Péage de Reims Est;49.2115374;4.0785028;2;[23217938, 23217941];;close;APRR
REPLONGES;Replonges;3;46.3007801;4.8957548;2;[228876004, 1597432903];;close;
PEAGE DE RESTIGNE;Péage de Restigné;Péage de Restigné;47.2702961;0.2538241;2;[101497372, 101497519];;close;
RIOM;Riom;13;45.8955545;3.1481729;2;[6306677688, 6306677694];;close;
ROBECOURT;Robecourt;8.1;48.1460604;5.6874369;4;[613525527,613525538,659768198, 659768209];;close;
ROMORANTIN;Romorantin;14;47.3245608;1.7656674;2;[58917023, 1902659897];;close;
PEAGE DU ROUMOIS;Péage du Roumois;Péage du Roumois;49.3539593;0.8350875;2;[248868492, 248869003];;close;
SABLE LA FLECHE;Sablé-La-Flèche;10;47.7755032;-0.2086032;2;[340097997, 1716982137];;close;
SAINT AIGNAN SUR CHER;Saint-Aignan-sur-Cher;12;47.3065782;1.3531066;2;[1405976152, 1405976248];;close;
ST AMAND MONTROND;Saint-Amand-Montrond;8;46.7220021;2.4583168;1;[190755700];;close;APRR
SAINT AUBIN DE BLAYE;Saint-Aubin-de-Blaye;38;45.2543461;-0.5478033;1;[665051348];;close;
SAINT DENIS LES SENS;Saint-Denis-lès-Sens;1;48.2369888;3.262201;8;[332248643,924440768,6134878380,6134878383,6134878384,6134879085,6134879086, 6134879090];;close;
SAINT ETIENNE AU TEMPLE;Saint-Etienne-au-Temple;28;49.0334402;4.4358734;2;[1575874810, 1575874813];;close;
SAINT GENIS;Saint-Genis;4;46.2722265;5.0158394;2;[987093311, 987094003];;close;
SAINT GERMAIN LAXIS;Saint-Germain-Laxis;15;48.5880155;2.7247238;2;[690686570, 1477388127];;close;
SAINT GIBRIEN;Saint-Gibrien;17;48.9735998;4.2886495;2;[264756447, 1042719181];;close;
