name_from;name_to;distance;price1;price2;price3;price4;price5
SETE;PEAGE DE VIENNE;;34.4;54.3;73.7;97.5;20.1
PEAGE DE VIENNE;SETE;;34.4;54.3;73.7;97.5;20.1
SETE;AUBERIVES;;29.9;46.1;65.4;85.2;17.3
AUBERIVES;SETE;;29.9;46.1;65.4;85.2;17.3
SETE;CHANAS;;28.4;44.3;61.8;81.6;16.6
CHANAS;SETE;;28.4;44.3;61.8;81.6;16.6
SETE;TAIN;;25.7;40.3;56.2;74.3;14.9
TAIN;SETE;;25.7;40.3;56.2;74.3;14.9
SETE;VALENCE NORD;;24.8;37.7;53.1;69.5;14.2
VALENCE NORD;SETE;;24.8;37.7;53.1;69.5;14.2
SETE;VALENCE SUD;;24.4;37.5;52.9;69.2;14.1
VALENCE SUD;SETE;;24.4;37.5;52.9;69.2;14.1
SETE;LORIOL;;21.3;33.3;46.4;60.8;12.0
LORIOL;SETE;;21.3;33.3;46.4;60.8;12.0
SETE;MONTELIMAR NORD;;19.8;30.3;42.3;55.9;11.2
MONTELIMAR NORD;SETE;;19.8;30.3;42.3;55.9;11.2
SETE;MONTELIMAR SUD;;17.0;26.3;36.5;48.8;9.6
MONTELIMAR SUD;SETE;;17.0;26.3;36.5;48.8;9.6
SETE;BOLLENE;;15.3;24.1;33.4;44.0;8.7
BOLLENE;SETE;;15.3;24.1;33.4;44.0;8.7
SETE;ORANGE NORD;;11.8;18.3;25.5;34.2;7.2
ORANGE NORD;SETE;;11.8;18.3;25.5;34.2;7.2
SETE;ORANGE;;11.6;18.1;24.6;32.3;7.0
ORANGE;SETE;;11.6;18.1;24.6;32.3;7.0
SETE;ROQUEMAURE;;10.6;17.0;23.9;31.0;6.3
ROQUEMAURE;SETE;;10.6;17.0;23.9;31.0;6.3
SETE;REMOULINS;;8.7;14.3;20.2;26.4;5.3
REMOULINS;SETE;;8.7;14.3;20.2;26.4;5.3
SETE;NIMES EST;;6.3;9.7;13.7;17.8;3.6
NIMES EST;SETE;;6.3;9.7;13.7;17.8;3.6
SETE;NIMES OUEST;;5.5;8.7;12.8;16.8;3.4
NIMES OUEST;SETE;;5.5;8.7;12.8;16.8;3.4
SETE;NIMES CENTRE;;5.6;9.1;13.1;17.0;3.5
NIMES CENTRE;SETE;;5.6;9.1;13.1;17.0;3.5
SETE;NIMES GARONS;;6.6;9.8;15.4;20.4;3.9
NIMES GARONS;SETE;;6.6;9.8;15.4;20.4;3.9
SETE;PEAGE D ARLES;;9.5;14.0;19.2;25.3;5.5
PEAGE D ARLES;SETE;;9.5;14.0;19.2;25.3;5.5
SETE;GALLARGUES;;3.7;5.7;7.8;9.9;2.0
GALLARGUES;SETE;;3.7;5.7;7.8;9.9;2.0
SETE;LUNEL;;3.3;5.2;6.9;8.3;1.6
LUNEL;SETE;;3.3;5.2;6.9;8.3;1.6
AGDE PEZENAS;PEAGE DE VIENNE;;37.0;57.6;79.1;104.0;21.6
PEAGE DE VIENNE;AGDE PEZENAS;;37.0;57.6;79.1;104.0;21.6
AGDE PEZENAS;AUBERIVES;;32.3;49.7;70.7;92.1;18.9
AUBERIVES;AGDE PEZENAS;;32.3;49.7;70.7;92.1;18.9
AGDE PEZENAS;CHANAS;;31.1;47.7;68.0;89.1;18.2
CHANAS;AGDE PEZENAS;;31.1;47.7;68.0;89.1;18.2
AGDE PEZENAS;TAIN;;28.1;43.5;61.7;81.4;16.4
TAIN;AGDE PEZENAS;;28.1;43.5;61.7;81.4;16.4
AGDE PEZENAS;VALENCE NORD;;27.0;40.9;58.4;76.1;15.7
VALENCE NORD;AGDE PEZENAS;;27.0;40.9;58.4;76.1;15.7
AGDE PEZENAS;VALENCE SUD;;26.7;40.7;58.2;75.9;15.6
VALENCE SUD;AGDE PEZENAS;;26.7;40.7;58.2;75.9;15.6
AGDE PEZENAS;LORIOL;;23.7;37.0;52.3;67.8;13.6
LORIOL;AGDE PEZENAS;;23.7;37.0;52.3;67.8;13.6
AGDE PEZENAS;MONTELIMAR NORD;;22.1;33.7;47.9;63.3;12.7
MONTELIMAR NORD;AGDE PEZENAS;;22.1;33.7;47.9;63.3;12.7
AGDE PEZENAS;MONTELIMAR SUD;;19.3;29.6;42.5;56.0;11.0
MONTELIMAR SUD;AGDE PEZENAS;;19.3;29.6;42.5;56.0;11.0
AGDE PEZENAS;BOLLENE;;17.8;27.1;39.4;51.3;10.2
BOLLENE;AGDE PEZENAS;;17.8;27.1;39.4;51.3;10.2
AGDE PEZENAS;ORANGE NORD;;14.1;21.4;31.6;41.2;8.7
ORANGE NORD;AGDE PEZENAS;;14.1;21.4;31.6;41.2;8.7
AGDE PEZENAS;ORANGE;;14.0;21.2;30.0;39.2;8.5
ORANGE;AGDE PEZENAS;;14.0;21.2;30.0;39.2;8.5
AGDE PEZENAS;ROQUEMAURE;;13.0;20.3;29.6;38.2;8.0
ROQUEMAURE;AGDE PEZENAS;;13.0;20.3;29.6;38.2;8.0
AGDE PEZENAS;REMOULINS;;11.1;17.8;25.8;33.3;7.0
REMOULINS;AGDE PEZENAS;;11.1;17.8;25.8;33.3;7.0
AGDE PEZENAS;NIMES EST;;8.7;13.0;19.5;24.9;5.3
NIMES EST;AGDE PEZENAS;;8.7;13.0;19.5;24.9;5.3
AGDE PEZENAS;NIMES OUEST;;7.9;12.1;18.3;23.8;5.0
NIMES OUEST;AGDE PEZENAS;;7.9;12.1;18.3;23.8;5.0
AGDE PEZENAS;NIMES CENTRE;;8.1;12.5;18.9;24.1;5.1
NIMES CENTRE;AGDE PEZENAS;;8.1;12.5;18.9;24.1;5.1
AGDE PEZENAS;NIMES GARONS;;9.1;13.2;20.9;27.6;5.4
NIMES GARONS;AGDE PEZENAS;;9.1;13.2;20.9;27.6;5.4
AGDE PEZENAS;PEAGE D ARLES;;11.8;17.6;25.3;32.9;7.2
PEAGE D ARLES;AGDE PEZENAS;;11.8;17.6;25.3;32.9;7.2
AGDE PEZENAS;GALLARGUES;;6.1;9.0;13.4;16.9;3.6
GALLARGUES;AGDE PEZENAS;;6.1;9.0;13.4;16.9;3.6
AGDE PEZENAS;LUNEL;;5.6;8.6;12.6;15.2;3.5
LUNEL;AGDE PEZENAS;;5.6;8.6;12.6;15.2;3.5
PEAGE DE BEZIERS CABRIALS;PEAGE DE VIENNE;;38.0;59.8;82.8;109.8;22.7
PEAGE DE VIENNE;PEAGE DE BEZIERS CABRIALS;;38.0;59.8;82.8;109.8;22.7
PEAGE DE BEZIERS CABRIALS;AUBERIVES;;33.2;52.3;73.5;96.9;20.1
AUBERIVES;PEAGE DE BEZIERS CABRIALS;;33.2;52.3;73.5;96.9;20.1
PEAGE DE BEZIERS CABRIALS;CHANAS;;32.1;50.2;71.2;94.9;19.3
CHANAS;PEAGE DE BEZIERS CABRIALS;;32.1;50.2;71.2;94.9;19.3
PEAGE DE BEZIERS CABRIALS;TAIN;;29.4;45.8;65.3;87.4;17.6
TAIN;PEAGE DE BEZIERS CABRIALS;;29.4;45.8;65.3;87.4;17.6
PEAGE DE BEZIERS CABRIALS;VALENCE NORD;;28.0;43.3;61.7;81.6;16.7
VALENCE NORD;PEAGE DE BEZIERS CABRIALS;;28.0;43.3;61.7;81.6;16.7
PEAGE DE BEZIERS CABRIALS;VALENCE SUD;;27.7;43.0;61.5;81.4;16.6
VALENCE SUD;PEAGE DE BEZIERS CABRIALS;;27.7;43.0;61.5;81.4;16.6
PEAGE DE BEZIERS CABRIALS;LORIOL;;24.7;39.1;55.3;73.2;14.6
LORIOL;PEAGE DE BEZIERS CABRIALS;;24.7;39.1;55.3;73.2;14.6
PEAGE DE BEZIERS CABRIALS;MONTELIMAR NORD;;23.4;36.4;51.4;68.5;13.8
MONTELIMAR NORD;PEAGE DE BEZIERS CABRIALS;;23.4;36.4;51.4;68.5;13.8
PEAGE DE BEZIERS CABRIALS;MONTELIMAR SUD;;20.5;32.7;45.9;61.1;12.2
MONTELIMAR SUD;PEAGE DE BEZIERS CABRIALS;;20.5;32.7;45.9;61.1;12.2
PEAGE DE BEZIERS CABRIALS;BOLLENE;;19.1;30.2;42.9;56.6;11.3
BOLLENE;PEAGE DE BEZIERS CABRIALS;;19.1;30.2;42.9;56.6;11.3
PEAGE DE BEZIERS CABRIALS;ORANGE NORD;;15.6;23.7;34.0;45.9;9.6
ORANGE NORD;PEAGE DE BEZIERS CABRIALS;;15.6;23.7;34.0;45.9;9.6
PEAGE DE BEZIERS CABRIALS;ORANGE;;15.5;23.5;33.5;45.0;9.5
ORANGE;PEAGE DE BEZIERS CABRIALS;;15.5;23.5;33.5;45.0;9.5
PEAGE DE BEZIERS CABRIALS;ROQUEMAURE;;14.1;23.0;33.0;43.8;9.0
ROQUEMAURE;PEAGE DE BEZIERS CABRIALS;;14.1;23.0;33.0;43.8;9.0
PEAGE DE BEZIERS CABRIALS;REMOULINS;;12.7;20.4;29.3;39.3;7.9
REMOULINS;PEAGE DE BEZIERS CABRIALS;;12.7;20.4;29.3;39.3;7.9
PEAGE DE BEZIERS CABRIALS;NIMES EST;;9.9;15.8;22.8;30.1;6.3
NIMES EST;PEAGE DE BEZIERS CABRIALS;;9.9;15.8;22.8;30.1;6.3
PEAGE DE BEZIERS CABRIALS;NIMES OUEST;;9.3;14.3;21.7;29.0;6.0
NIMES OUEST;PEAGE DE BEZIERS CABRIALS;;9.3;14.3;21.7;29.0;6.0
PEAGE DE BEZIERS CABRIALS;NIMES CENTRE;;9.5;14.7;22.2;29.2;6.1
NIMES CENTRE;PEAGE DE BEZIERS CABRIALS;;9.5;14.7;22.2;29.2;6.1
PEAGE DE BEZIERS CABRIALS;NIMES GARONS;;10.2;15.1;23.9;32.1;6.4
NIMES GARONS;PEAGE DE BEZIERS CABRIALS;;10.2;15.1;23.9;32.1;6.4
PEAGE DE BEZIERS CABRIALS;PEAGE D ARLES;;13.0;19.6;28.1;37.7;8.2
PEAGE D ARLES;PEAGE DE BEZIERS CABRIALS;;13.0;19.6;28.1;37.7;8.2
PEAGE DE BEZIERS CABRIALS;GALLARGUES;;7.2;11.0;16.1;21.3;4.6
GALLARGUES;PEAGE DE BEZIERS CABRIALS;;7.2;11.0;16.1;21.3;4.6
PEAGE DE BEZIERS CABRIALS;LUNEL;;7.0;10.6;15.4;20.3;4.3
LUNEL;PEAGE DE BEZIERS CABRIALS;;7.0;10.6;15.4;20.3;4.3
BEZIERS OUEST;PEAGE DE VIENNE;;38.6;60.6;83.6;110.3;22.9
PEAGE DE VIENNE;BEZIERS OUEST;;38.6;60.6;83.6;110.3;22.9
BEZIERS OUEST;AUBERIVES;;34.2;53.2;74.4;97.5;20.4
AUBERIVES;BEZIERS OUEST;;34.2;53.2;74.4;97.5;20.4
BEZIERS OUEST;CHANAS;;32.9;51.1;72.0;95.5;19.5
CHANAS;BEZIERS OUEST;;32.9;51.1;72.0;95.5;19.5
BEZIERS OUEST;TAIN;;30.2;46.7;66.1;88.1;17.8
TAIN;BEZIERS OUEST;;30.2;46.7;66.1;88.1;17.8
BEZIERS OUEST;VALENCE NORD;;28.8;44.2;62.4;82.4;16.9
VALENCE NORD;BEZIERS OUEST;;28.8;44.2;62.4;82.4;16.9
BEZIERS OUEST;VALENCE SUD;;28.5;43.9;62.2;82.2;16.8
VALENCE SUD;BEZIERS OUEST;;28.5;43.9;62.2;82.2;16.8
BEZIERS OUEST;LORIOL;;25.5;40.4;56.1;73.8;14.9
LORIOL;BEZIERS OUEST;;25.5;40.4;56.1;73.8;14.9
BEZIERS OUEST;MONTELIMAR NORD;;24.1;37.3;52.3;69.3;14.0
MONTELIMAR NORD;BEZIERS OUEST;;24.1;37.3;52.3;69.3;14.0
BEZIERS OUEST;MONTELIMAR SUD;;21.3;33.6;46.7;62.2;12.5
MONTELIMAR SUD;BEZIERS OUEST;;21.3;33.6;46.7;62.2;12.5
BEZIERS OUEST;BOLLENE;;19.9;31.1;43.7;57.5;11.5
BOLLENE;BEZIERS OUEST;;19.9;31.1;43.7;57.5;11.5
BEZIERS OUEST;ORANGE NORD;;16.5;25.1;35.3;47.4;9.9
ORANGE NORD;BEZIERS OUEST;;16.5;25.1;35.3;47.4;9.9
BEZIERS OUEST;ORANGE;;16.3;24.8;34.1;45.8;9.7
ORANGE;BEZIERS OUEST;;16.3;24.8;34.1;45.8;9.7
BEZIERS OUEST;ROQUEMAURE;;14.9;23.9;33.6;44.5;9.2
ROQUEMAURE;BEZIERS OUEST;;14.9;23.9;33.6;44.5;9.2
BEZIERS OUEST;REMOULINS;;13.6;21.3;30.1;40.4;8.2
REMOULINS;BEZIERS OUEST;;13.6;21.3;30.1;40.4;8.2
BEZIERS OUEST;NIMES EST;;10.7;17.0;24.0;31.6;6.6
NIMES EST;BEZIERS OUEST;;10.7;17.0;24.0;31.6;6.6
BEZIERS OUEST;NIMES OUEST;;10.2;15.6;22.6;30.5;6.2
NIMES OUEST;BEZIERS OUEST;;10.2;15.6;22.6;30.5;6.2
BEZIERS OUEST;NIMES CENTRE;;10.3;16.0;23.2;30.6;6.3
