name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
PEAGE DE MONTPELLIER ST JEAN;Saint-Jean-de-Védas;Saint-Jean-de-Védas;43.5617904;3.8301934;2;[8980695,2399140585];;close;ASF
LE BOULOU;Le Boulou;43;42.5237027;2.8173684;1;[1742991342];;close;ASF
L UNION;L'Union;1;43.6452356;1.4979269;2;[343588412,343588417];;open;ASF
PEAGE DE TOULOUSE EST;Péage de Toulouse Est;Péage-de-Toulouse Est;43.6473594;1.5077254;2;[6563692,345188803];;open;ASF
PEAGE DE TOULOUSE NORD OUEST;Toulouse Nord Ouest;Toulouse Nord Ouest;43.6580892;1.4271185;2;[36129805,253943275];;close;ASF
SAINT JORY;Saint-Jory;11;43.7183094;1.3981013;2;[1452229755,1452229766];;close;ASF
EUROCENTRE;Eurocentre;10.1;43.7649417;1.3805023;9;[1452208046,1452208143,4349032318,4349032319,4471741927,4471741928,4471741929,4471741930,4471741966];;close;ASF
MONTAUBAN;Montauban;10;43.9287005;1.3143202;22;[375649933,1124844164,7042778791,7042778792,7042778793,7042778794,7042778795,7042778796,7042778797,7042778798,7042778799,7042778800,7042778801,7042778802,7042778803,7042778804,7042778805,7042778806,7042778807,7042778808,7042778809,7042778810];;close;ASF
CASTELSARRASIN;Castelsarrasin;9;44.0557632;1.097352;3;[261761245,513660073,513660085];;close;ASF
VALENCE D AGEN;Valence-d'Agen;8;44.0641414;0.8665624;2;[458881141,1451681686];;close;ASF
AGEN;Agen;7;44.1650334;0.6056288;2;[253945696,1450618855];;close;ASF
AGEN OUEST;;;44.1875022;0.5460239;2;[10029321800,10202403261];;close;ASF
AIGUILLON;Aiguillon;6;44.2845338;0.2699371;2;[453443789,1449746827];;close;ASF
MARMANDE;Marmande;5;44.4347709;0.1328803;2;[288922361,1451223683];;close;ASF
LA REOLE;La Réole;4;44.5114169;-0.0495015;2;[288894155,1451196227];;close;ASF
LANGON;Langon;3;44.5443191;-0.2620828;2;[276335332,276335747];;close;ASF
PODENSAC;Podensac;2;44.6075445;-0.3668195;1;[301654518];;close;ASF
PEAGE DE SAINT SELVE;Saint-Selve;Saint-Selve;44.6591839;-0.4540608;2;[36130695,36133303];;close;ASF
BAZAS;Bazas;1;44.4452449;-0.2423002;2;[1195217379,1195217501];;close;A’LIENOR
CAPTIEUX;Captieux;2;44.2860318;-0.2280667;1;[1091772679];;close;A’LIENOR
ROQUEFORT;Roquefort;3;44.04491;-0.343255;2;[1564463968,7120103697];;close;A’LIENOR
LE CALOY;Mont-de-Marsan;4;43.9469871;-0.393924;1;[1246344270];;close;A’LIENOR
AIRE SUR ADOUR NORD;Aire-sur-l'Adour Nord;6;43.7221639;-0.2707856;2;[1092685933,1285330579];;close;A’LIENOR
AIRE SUR ADOUR SUD;Aire-sur-l'Adour Sud;7;43.6645842;-0.2766787;2;[1143005916,10977936133];;close;A’LIENOR
GARLIN;Garlin;8;43.5652949;-0.2926501;2;[1618060722,4690491293];;close;A’LIENOR
THEZE;Thèze;9;43.4713749;-0.3210547;1;[986537073];;close;A’LIENOR
PEAGE DE SAMES;Sames;Sames;43.5297063;-1.1868429;2;[630216,2341285897];;close;ASF
PEYREHORADE;Peyrehorade;6;43.5170174;-1.103737;2;[428642826,428642848];;close;ASF
SALIES;Salies;7;43.5098572;-0.9218215;2;[850197729,1042852216];;close;ASF
ORTHEZ;Orthez;8;43.4671974;-0.7486871;2;[401910583,401910597];;close;ASF
ARTIX;Artix;9;43.3950598;-0.5511787;2;[2267204259,2267204261];;close;ASF
LESCAR;Lescar;9.1;43.3452483;-0.4188068;1;[1105868116];;close;ASF
PAU CENTRE;Pau Centre;10;43.3304237;-0.3505117;2;[309903361,309903362];;close;ASF
SOUMOULOU;Soumoulou;11;43.2725542;-0.1999122;2;[401513183,401513184];;close;ASF
TARBES OUEST;Tarbes Ouest;12;43.2207482;0.0236651;2;[401829376,402871346];;close;ASF
TARBES EST;Tarbes Est;13;43.2137336;0.1083677;2;[272505901,388295686];;close;ASF
TOURNAY;Tournay;14;43.1774027;0.2399837;2;[311638830,1003948981];;close;ASF
CAPVERN;Capvern;15;43.1033454;0.3427227;2;[410388997,457896791];;close;ASF
LANNEMEZAN;Lannemezan;16;43.097816;0.3903233;2;[457896763,2976483382];;close;ASF
MONTREJEAU;Montrejeau;17;43.1001591;0.5953613;2;[281410101,1561101896];;close;ASF
SAINT GAUDENS;Saint-Gaudens;18;43.1156846;0.7566067;1;[277820265];;close;ASF
PEAGE DE LESTELLE;Péage de Lestelle;Péage de Lestelle;43.1205699;0.8957946;2;[277910939,290614344];;close;ASF
GUICHE;Guiche;5;43.5123235;-1.2230649;2;[6367151903,6367151904];;open;ASF
PEAGE DE MURET;Péage de Muret;Péage de Muret;43.505462;1.3520299;2;[61101216,61101218];;open;ASF
