name_from;name_to;by_way
AIX NORD;ALLONZIER;[1425013782,1425013781,769264531,4812431,26389564,26389563,769264534,300061996,22605610,1365024738,25891067,769264543,769264538,769264537,769264544,1441743965,850833608,850833609,850833610,55440964,55440957,769264548,26574266,365201628,769264545,86264444,86264432,86264403,86264439,25891081,1365024740,413493670,25891076,768096633,768096630,768096629,409110861,667688613,30790727,30790728,768096636,464231147,768096635,300061994,97371052,97371089,97371071,97371068,35921962,895193127,468901357,26573794,766204619,35921963,97243712,97243710,137686132,370947764,766204641,370947762,4276305,609795841,8463621,788223227]
AIX NORD;ANNECY CENTRE;[1425013782,1425013781,769264531,4812431,26389564,26389563,769264534,300061996,22605610,1365024738,25891067,769264543,769264538,769264537,769264544,1441743965,850833608,850833609,850833610,55440964,55440957,769264548,26574266,365201628,769264545,86264444,86264432,86264403,86264439,25891081,1365024740,413493670,25891076,768096633,768096630,768096629,409110861,667688613,30790727,30790728,768096636,22634806,893974158,691101935,849287423]
AIX NORD;ANNECY NORD;[1425013782,1425013781,769264531,4812431,26389564,26389563,769264534,300061996,22605610,1365024738,25891067,769264543,769264538,769264537,769264544,1441743965,850833608,850833609,850833610,55440964,55440957,769264548,26574266,365201628,769264545,86264444,86264432,86264403,86264439,25891081,1365024740,413493670,25891076,768096633,768096630,768096629,409110861,667688613,30790727,30790728,768096636,464231147,768096635,300061994,97371052,97371089,97371071,97371068,35921962,895193127,468901357,766204620,895193121,440033908,440033907,529198795,529198792]
AIX NORD;BOURGOIN;[1425013782,1425013781,769264531,4812430,769264532,501253467,501253463,501253466,769264527,769264526,769264520,769264519,26574376,769264518,673474037,769264516,673474041,85243413,85243417,85243440,85243441,95022083,95022074,26426350,26426351,366071464,26395751,769264514,468563912,663774647,26395748,25673561,412119429,26200220,31953407,31953409,531802546,531802540,531802580,531802575,365953161,531802600,531802596,609795806,365953160,2954774,771372670,771372669,27178927,24570422,24570423,771372668,365953162,25566156,771372658,771372657,531802619,771372656,771372655,531802614,771372647,25566163,531802621,771372648,531802620,365953159,37662263,37662200,2954766,531802629,531802626,531802640,531802639,365943307,531802643,531802641,1210040550,342968435,531802650,531802649,771372646,531802654,531802653,771372642,409120891,531802657,110036456,771372629,771372628,771372625,771372624,110036466,771372621,238917044,771372620,243542938,850872595,850872596,243542933,59554128,69071727,558294848,771372613,69071734,69071724,558294857,771372608,69071725,771372606,4431978,222371615,771372604,3650185,771372603,243571279,1425223628,379901896,663975679,609707065,717384713,609707067,661560696,243571306,50318108,50318107,558294852]
AIX NORD;CHAMBERY NORD;[1425013782,1425013781,769264531,4812430,769264532,501253467,501253463,501253466,769264527,769264526,769264520,769264519,26574376,769264518,673474037,769264516,673474041,85243413,85243417,85243440,85243441,95022083,95022074,26426350,26426351,366071464,26395751,769264514,468563912,663774647,4157338,25673603,25673602,366071463,241281802,241281803,232546573,232546550,366772079]
AIX NORD;CHATUZANGE BARRIERE;[1425013782,1425013781,769264531,4812430,769264532,501253467,501253463,501253466,769264527,769264526,769264520,769264519,26574376,769264518,673474037,769264516,673474041,85243413,85243417,85243440,85243441,95022083,95022074,26426350,26426351,366071464,26395751,769264514,468563912,663774647,26395748,25673561,412119429,26200220,31953407,31953409,531802546,531802540,531802580,531802575,365953161,531802600,531802596,609795806,365953160,2954774,771372670,771372669,27178927,24570422,24570423,771372668,365953162,25566156,771372658,771372657,531802619,771372656,771372655,531802614,771372647,25566163,531802621,771372648,531802620,365953159,37662263,37662200,2954766,531802629,531802626,531802640,531802639,365943307,531802643,531802641,1210040550,342968435,531802650,531802649,771372646,531802654,531802653,771372642,409120891,531802657,110036456,771372629,771372628,771372625,771372624,110036466,771372621,238917044,771372620,243542938,850872595,850872596,243542933,59554128,69071727,558294848,771372613,69071734,69071724,558294857,771372608,69071725,771372606,4431978,222371615,771372604,609313936,7970716,50318106,50318104,2954157,771372602,196212928,196212930,222371619,807294536,667939836,807294535,667939837,166626195,166626197,50219116,50219112,667939835,4859172,217944481,55687505,55687503,101190254,101190259,667935163,215665433,4431614,430625015,166626219,166626199,862487379,862487380,862487377,922157214,4701008,1426337709,430626025,862473070,611966207,202987885,202987882,862473071,3182360,122714537,5218995,246373665,246373666,862463441,862369307,862369306,4389835,862367227,4389834,24818549,862367228,127624187,127624192,127624189,127624188,862365793,862365795,862365799,862365800,862365801,24818555,24818556,862364848,862364847,222437936,222437939,862364850,4389830,244831904,244831907,509079634,509079631,4389824,4389827,225059379,862362722,862362721,862362724,4443997,4443998,4686347,862362726,862362725,862362723,84622668,97020289,97020288,1125418699]
AIX NORD;ISLE D'ABEAU CENTRE;[1425013782,1425013781,769264531,4812430,769264532,501253467,501253463,501253466,769264527,769264526,769264520,769264519,26574376,769264518,673474037,769264516,673474041,85243413,85243417,85243440,85243441,95022083,95022074,26426350,26426351,366071464,26395751,769264514,468563912,663774647,26395748,25673561,412119429,26200220,31953407,31953409,531802546,531802540,531802580,531802575,365953161,531802600,531802596,609795806,365953160,2954774,771372670,771372669,27178927,24570422,24570423,771372668,365953162,25566156,771372658,771372657,531802619,771372656,771372655,531802614,771372647,25566163,531802621,771372648,531802620,365953159,37662263,37662200,2954766,531802629,531802626,531802640,531802639,365943307,531802643,531802641,1210040550,342968435,531802650,531802649,771372646,531802654,531802653,771372642,409120891,531802657,110036456,771372629,771372628,771372625,771372624,110036466,771372621,238917044,771372620,243542938,850872595,850872596,243542933,59554128,69071727,558294848,771372613,69071734,69071724,558294857,771372608,69071725,771372606,4431978,222371615,771372604,3650185,771372603,243571279,1425223628,379901896,663975679,609707066,717384714,558294853,243571281,50317212,50317201,50315721,50315719,609314018,609314016,609314014,3819278,50313609,50313610,651201488,651486155]
AIX NORD;LA BAUME D'HOSTUN;[1425013782,1425013781,769264531,4812430,769264532,501253467,501253463,501253466,769264527,769264526,769264520,769264519,26574376,769264518,673474037,769264516,673474041,85243413,85243417,85243440,85243441,95022083,95022074,26426350,26426351,366071464,26395751,769264514,468563912,663774647,26395748,25673561,412119429,26200220,31953407,31953409,531802546,531802540,531802580,531802575,365953161,531802600,531802596,609795806,365953160,2954774,771372670,771372669,27178927,24570422,24570423,771372668,365953162,25566156,771372658,771372657,531802619,771372656,771372655,531802614,771372647,25566163,531802621,771372648,531802620,365953159,37662263,37662200,2954766,531802629,531802626,531802640,531802639,365943307,531802643,531802641,1210040550,342968435,531802650,531802649,771372646,531802654,531802653,771372642,409120891,531802657,110036456,771372629,771372628,771372625,771372624,110036466,771372621,238917044,771372620,243542938,850872595,850872596,243542933,59554128,69071727,558294848,771372613,69071734,69071724,558294857,771372608,69071725,771372606,4431978,222371615,771372604,609313936,7970716,50318106,50318104,2954157,771372602,196212928,196212930,222371619,807294536,667939836,807294535,667939837,166626195,166626197,50219116,50219112,667939835,4859172,217944481,55687505,55687503,101190254,101190259,667935163,215665433,4431614,430625015,166626219,166626199,862487379,862487380,862487377,922157214,4701008,1426337709,430626025,862473070,611966207,202987885,202987882,862473071,3182360,122714537,5218995,246373665,246373666,862463441,862369307,862369306,4389835,862367227,4389834,24818549,862367228,127624187,127624192,127624189,127624188,862365793,862365795,862365799,862365800,862365801,24818555,24818556,862364848,862364847,222437936,222437939,862364850,4389830,244831904,244831907,509079634,509079631,4389824,4389827,225059379,862362722,862362721,862362724,4443997,4443998,4443992,180709547,180709558,966001875,966001874]
AIX NORD;LA TOUR DU PIN;[1425013782,1425013781,769264531,4812430,769264532,501253467,501253463,501253466,769264527,769264526,769264520,769264519,26574376,769264518,673474037,769264516,673474041,85243413,85243417,85243440,85243441,95022083,95022074,26426350,26426351,366071464,26395751,769264514,468563912,663774647,26395748,25673561,412119429,26200220,31953407,31953409,531802546,531802540,531802580,531802575,365953161,531802600,531802596,609795806,365953160,2954774,771372670,771372669,27178927,24570422,24570423,771372668,365953162,25566156,771372658,771372657,531802619,771372656,771372655,531802614,771372647,25566163,531802621,771372648,531802620,365953159,37662263,37662200,2954766,531802629,531802626,531802640,531802639,365943307,531802643,531802641,1210040550,342968435,531802650,531802649,771372646,531802654,531802653,771372642,409120891,531802657,110036456,771372629,771372628,771372625,771372624,110036466,771372621,238917044,771372620,243542938,850872595,850872596,243542933,59554128,69071727,558294848,771372613,69071734,69071724,558294857,771372608,661562061,144636174,558294847,371653217]
AIX NORD;LES ABRETS;[1425013782,1425013781,769264531,4812430,769264532,501253467,501253463,501253466,769264527,769264526,769264520,769264519,26574376,769264518,673474037,769264516,673474041,85243413,85243417,85243440,85243441,95022083,95022074,26426350,26426351,366071464,26395751,769264514,468563912,663774647,26395748,25673561,412119429,26200220,31953407,31953409,531802546,531802540,531802580,531802575,365953161,531802600,531802596,609795806,365953160,2954774,771372670,771372669,27178927,24570422,24570423,771372668,365953162,25566156,771372658,771372657,531802619,771372656,771372655,531802614,771372647,25566163,531802621,771372648,531802620,365953159,37662263,37662200,2954766,531802629,531802626,531802640,531802639,365943307,531802643,531802641,1210040550,342968435,531802650,531802649,771372646,531802654,531802653,771372642,409120891,531802657,110036456,771372629,771372628,771372625,771372624,110036466,771372621,49153971,49153974,49153970]
