name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
BOURG NORD;Bourg Nord;5;46.2599489;5.1669614;2;[21760589, 652123095];;close;APRR
VIRIAT;Viriat;6;46.2357293;5.2734836;2;[1330238093, 1330238094];;close;APRR
BOURG SUD;Bourg Sud;7;46.1456922;5.2862738;2;[25946087, 317802090];;close;APRR
ST MARTIN DU FRESNE;Saint-Martin-du-Fresne;8;46.1324281;5.5415206;1;[410246295];;close;APRR
SYLANS SUD;Sylans;9;46.1585737;5.6483351;2;[292356937, 292356996];;close;APRR
BELLEGARDE;Bellegarde;10;46.1160243;5.795008;2;[2150890046, 2150890048];;close;APRR
ELOISE;Eloise;11;46.06516;5.8639647;2;[30781582, 410245598];;close;APRR
PEAGE DE VIRY;Péage de Viry;Péage de Viry;46.1200143;6.0095423;2;[21700511, 21700610];;close;APRR
LA CROIX CHALON;La Croix Chalon;9;46.1777171;5.5590084;2;[291568677, 291568687];;close;APRR
PEAGE DE GROISSIAT;Groissiat;Groissiat;46.2237181;5.6140918;7;[18267636, 18267637, 9247763979, 9247763980, 9247763981, 9247763982, 9247763993];;close;APRR
PONT D AIN;Pont-d'Ain;9;46.0481257;5.3278855;1;[84428307];;close;APRR
AMBERIEU;Ambérieu-en-Buguey;8;45.9776792;5.3125990;2;[142831, 36534628];;close;APRR
PEROUGES;Pérouges;7;45.8607917;5.1812783;2;[1374640112, 1374640131];;close;APRR
BALAN;Balan;6;45.851012;5.0994272;5;[25783301, 774739116, 2422255483, 2422255492, 2422255497];;close;APRR
LA BOISE MONTUEL;La Boisse-Montuel;5.1;45.8407595;5.0469894;2;[773072337, 773072342];;close;APRR
PEAGE DE BEYNOST;Beynost;Beynost;45.8206664;4.9939405;2;[143584, 21670932];;close;APRR
PEAGE DE LA COTIERE;Péage de la Côtière;Péage de la Côtière;45.83428;5.0314003;3;[727671128, 1190068311, 2596549075];;close;APRR
PEAGE DE LA BOISSE;Péage de La Boisse;Péage de La Boisse;45.8277301;5.0326389;3;[143602, 18169277, 1405960889];;close;APRR
