name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
CHOLET SUD;Cholet Sud;27;47.0189982;-0.880635;2;[292384163, 1838205657];;;
CLERMONT;;;;;;;;;
CLERMONT EN ARGONNE;Clermont-en-Argonne;29.1;49.0944409;5.1017163;2;[307631007, 9241234240];;;
COLOMBEY LES BELLES;Colombey-les-Belles;11;48.5406483;5.9089246;2;[6283553420, 6283553421];;;
COMBRONDE;Combronde;12.1;45.9960339;3.1046691;4;[2441958671, 2441958683, 6289699841, 6311518304];;;
CONNERRE;Connerré;6;48.075376;0.4793078;2;[8631627001, 8631733684];;;
COURTENAY;Courtenay;17;48.0597651;3.0952651;2;[260171882, 1820928798];;;
CRIMOLOIS;;;;;;;;;
DEUX CHAISES;Deux-Chaises;APRR;46.3703031;3.0276811;2;[10601205061, 10601205062];;;
DIJON ARC SUR TILLE;Dijon-Arc-sur-Tille;4;47.3446742;5.1593268;2;[934821090, 934821205];;;
DIJON SUD;;;;;;;;;
DOLE;Dole;2;47.1360589;5.5062258;2;[609217653, 609218048];;;
DORMANS;Dormans;21;49.153751;3.7169903;2;[1830159108, 1830159112];;;
DOURDAN;;;;;;;;;
DRUYE CANDE;;;;;;;;;
DURTAL;Durtal;11;47.6678426;-0.2596964;2;[718696359, 718697029];;;
ECOMMOY;Écommoy;25;47.82037;0.3016977;1;[282351799];;;
EGLETONS;Egletons;22;45.4073918;2.0211932;1;[921929655];;;
ELOISE ANNECY;;;;;;;;;
EPERNAY;Bernay;14;49.1376884;0.5780951;1;[469982848];;;
ESCRENNES;Escrennes;8;48.11639;2.1911176;2;[461625472, 3736753049];;;
ESVRES;Esvres;10;47.3071705;0.7960772;1;[61275307];;;
EVRON;;;;;;;;;
FEILLENS;Feillens;2;46.3288346;4.8824112;1;[469060027];;;
FLEURY EN BIERE;;;;;;;;;
FONTAINEBLEAU;Fontainebleau;15;48.2896884;2.6832481;2;[456955619, 650926914];;;
FONTENAY LE COMTE;;;;;;;;;
FONTENAY OUEST;Fontenay Ouest;7.1;46.4646302;-0.8767346;5;[1335678463, 2241159339, 4001244342, 4001244343, 4001244344];;;
FONTENAY SUR LOING;Fontenay-sur-Loing;5;48.0641618;2.7670794;2;[1339371506, 4332104483];;;
FORET DE TRONCAIS;Forêt-de-Tronçais;9;46.5064795;2.6303355;1;[327506022];;;
FORGES;Forges;17;48.4213725;2.9432973;2;[323144666, 324391958];;;
FRESNES EN WOEVRE;Fresnes-en-Woevre;32;49.1291065;5.6212762;2;[1387739267, 3921619586];;;
FUTUROSCOPE;Futuroscope;28;46.6701286;0.3599572;2;[270647374, 2630513392];;;
GACE;Gacé;16;48.774355;0.3062189;4;[1042826699, 1042826707, 3248212729, 3250854437];;;
GANNAT;Gannat;Gannat;46.0980771;3.1356526;2;[50771124, 429833002];;;
GENDREY;Gendrey;2.1;47.1835108;5.7088685;2;[2561189904, 2561189908];;;
GERZAT;;;;;;;;;
GIDY;;;;;;;;;
GONDREVILLE LA FRANCHE NORD;;;;;;;;;
GONDREVILLE LA FRANCHE SUD;;;;;;;;;
GROISSIAT;Groissiat;Groissiat;46.2237181;5.6140918;7;[18267636, 18267637, 9247763979, 9247763980, 9247763981, 9247763982, 9247763993];;;
GYE;Roye;12;49.705635;2.7690267;5;[700985577, 700987531, 2107723026, 2107723040, 2107723163];;;
ILLIERS COMBRAY;Illiers-Combray;3.1;48.294416;1.2702437;2;[4850810028, 4850810029];;;
JANVILLE ALLAINES;;;;;;;;;
JARNY;Jarny;33;49.1999154;5.9016705;1;[1575874809];;;
JOIGNY;Joigny;18;47.9383172;3.244093;4;[140090191, 247389529, 1430770870, 1825795624];;;
JOUE LES TOURS;;;;;;;;;
L ISLE SUR LE DOUBS;L'isle-sur-le-Doubs;6;47.4125179;6.5856079;2;[32699885, 32699891];;;
LA BOISSE;;;;;;;;;
LA BOISSE MONTLUEL;La Boisse-Montuel;5.1;45.8407595;5.0469894;2;[773072337, 773072342];;;
LA COTIERE;;;;;;;;;
LA CROIX CHALON;La Croix Chalon;9;46.1777171;5.5590084;2;[291568677, 291568687];;;
LA FERTE BERNARD;La-Ferté-Bernard;5;48.1499662;0.6872078;4;[1679523552, 1679523744, 1679528040, 3815563832];;;
LA ROCHE SUR YON;La Roche-sur-Yon;La Roche-sur-Yon;46.6725704;-1.3459591;2;[3025678480, 3025678481];;;
LA ROCHELLE NIORT SUD;La Rochelle-Niort Sud;33;46.2441045;-0.4606127;8;[277398779, 5242792759, 5242792767, 5540214860, 5540214861, 5540214862, 5540214863, 5540214864];;;
LA VERRIE;La Verrie;28;46.9446866;-0.9766132;2;[449598015, 806378596];;;
LAMOTTE BEUVRON;Lamotte-Beuvron;3;47.5817361;1.9910306;1;[370669859];;;
