osm_name,operator_ref,lat,lon,nbs_booth,booth_node_id
Thiers Est,30,45.8787911,3.6248586,2,"[285818973, 4422919911]"
Lezoux,28,45.8485714,3.3836160,2,"[285839327, 295028548]"
Souillac,55,44.9006891,1.5043301,2,"[286851357, 2155986155]"
Saint-Julien-Sancy,25,45.6663047,2.6824524,2,"[288149616, 444805506]"
La Réole,4,44.5114169,-0.0495015,2,"[288894155, 1451196227]"
Marmande,5,44.4347709,0.1328803,2,"[288922361, 1451223683]"
Seiches-sur-Le-Loir,12,47.5664551,-0.3279756,2,"[290812844, 7171485717]"
Cholet Nord,26,47.0833658,-0.8280595,2,"[292375190, 3587014323]"
Cholet Sud,27,47.0189982,-0.8806350,2,"[292384163, 1838205657]"
Mussidan Est,13.1,45.0653628,0.4297875,4,"[298601377, 298601379, 512632720, 512645301]"
Nîmes Centre,1,43.8074823,4.3744374,2,"[300685333, 300688079]"
Podensac,2,44.6075445,-0.3668195,1,[301654518]
Péage de Virsac,Péage-de-Virsac,45.0235919,-0.4354379,2,"[302010360, 387740859]"
Leucate,40,42.9389777,2.9730298,8,"[306479406, 1997249454, 3536200857, 3536200860, 3536200866, 3536200869, 3536200872, 3536200879]"
Salon Ouest,13,43.6363295,5.0228102,2,"[308001966, 1456366661]"
Salon Sud,15,43.6269017,5.1065010,2,"[308079844, 308777762]"
Salon Nord,27,43.6594307,5.1025902,1,[308235934]
Pau Centre,10,43.3304237,-0.3505117,2,"[309903361, 309903362]"
Saint-Jean-d'Angély,34,45.9628699,-0.5458975,1,[309937348]
Chantonnay,6,46.6272005,-1.1544805,6,"[309941699, 802033563, 4003122683, 4003122684, 4003122685, 7227010528]"
Tournay,14,43.1774027,0.2399837,2,"[311638830, 1003948981]"
Cahors Sud,58,44.3427348,1.4940673,1,[322846284]
Pons,36,45.5744618,-0.5956219,2,"[332272132, 431442217]"
Coutras,11,45.0120743,-0.0998393,2,"[332282171, 504619378]"
Lezignan,25,43.1718900,2.7411404,2,"[338974999, 6343457269]"
Sablé-La-Flèche,10,47.7755032,-0.2086032,2,"[340097997, 1716982137]"
L'Union,1,43.6452356,1.4979269,2,"[343588412, 343588417]"
Sigean,39,43.0331894,2.9561957,2,"[360047943, 360047970]"
Caussade,59,44.1499330,1.5156002,2,"[366923586, 366940500]"
Montauban,10,43.9287005,1.3143202,22,"[375649933, 1124844164, 7042778791, 7042778792, 7042778793, 7042778794, 7042778795, 7042778796, 7042778797, 7042778798, 7042778799, 7042778800, 7042778801, 7042778802, 7042778803, 7042778804, 7042778805, 7042778806, 7042778807, 7042778808, 7042778809, 7042778810]"
Cahors Nord,57,44.5323371,1.5063224,2,"[387693502, 387693540]"
Soumoulou,11,43.2725542,-0.1999122,2,"[401513183, 401513184]"
Tarbes Ouest,12,43.2207482,0.0236651,2,"[401829376, 402871346]"
Orthez,8,43.4671974,-0.7486871,2,"[401910583, 401910597]"
Capvern,15,43.1033454,0.3427227,2,"[410388997, 457896791]"
Péage d'Arles,Péage d'Arles,43.6903420,4.5446514,2,"[423746542, 1652042833]"
Peyrehorade,6,43.5170174,-1.1037370,2,"[428642826, 428642848]"
Manzat,27,45.9539605,2.9826574,5,"[432436227, 9291141569, 9291141572, 9291141575, 9291141583]"
Libourne Nord,10,44.9570612,-0.2451243,2,"[442086723, 1474506894]"
La Bachellerie,17,45.1480869,1.1747099,2,"[444247986, 445832829]"
La Verrie,28,46.9446866,-0.9766132,2,"[449598015, 806378596]"
Aiguillon,6,44.2845338,0.2699371,2,"[453443789, 1449746827]"
Lannemezan,16,43.0978160,0.3903233,2,"[457896763, 2976483382]"
Montpon-Ménestérol,12,44.9859243,0.1562632,2,"[458731540, 1474599102]"
Valence-d'Agen,8,44.0641414,0.8665624,2,"[458881141, 1451681686]"
Poitiers Sud,30,46.5489824,0.2892931,2,"[459173225, 3634658165]"
Capbreton,8,43.6305539,-1.3947363,3,"[465501470, 2406629234, 5964525403]"
Péage de Bénesse-Maremne,Péage de Bénesse-Maremne,43.6240583,-1.4005755,2,"[465501472, 1778176309]"
Mirambeau,37,45.3777000,-0.5796224,2,"[494910454, 494910456]"
Grans,14,43.6229698,5.0835304,2,"[511439486, 1668541932]"
Thiers Ouest,29,45.8599682,3.5037813,2,"[560799932, 4422919071]"
Martel,54,44.9933565,1.5314244,2,"[600154188, 856420518]"
Montgiscard,19.1,43.4608882,1.5883118,1,[612786095]
Saint-Aubin-de-Blaye,38,45.2543461,-0.5478033,1,[665051348]
Vouillé,32,46.3074932,-0.3663971,2,"[672506884, 801745089]"
Saint-Germain-Laval,32,45.8609213,4.0420209,1,[703160692]
Ussel Ouest,23,45.5124063,2.2588909,2,"[705563120, 4422912952]"
Durtal,11,47.6678426,-0.2596964,2,"[718696359, 718697029]"
Niort Est,11,46.3552904,-0.3311880,6,"[735016190, 3999405516, 3999405520, 3999405523, 3999405525, 3999405529]"
Narbonne Sud,38,43.1645016,2.9901729,2,"[778662845, 778662954]"
Les Herbiers,29,46.9020192,-1.0467720,2,"[807894118, 807894416]"
Salies,7,43.5098572,-0.9218215,2,"[850197729, 1042852216]"
Saint-Maixent-Soudan,31,46.4255262,-0.0821627,2,"[883346500, 883347456]"
Niort Nord,10,46.4193233,-0.3969591,4,"[901258167, 4001139231, 4001139234, 4001139239]"
Egletons,22,45.4073918,2.0211932,1,[921929655]
Ussel Est,24,45.5889363,2.4145518,2,"[944248712, 944248772]"
Mazères-Saverdun,2,43.2344401,1.6360077,2,"[991655074, 991655139]"
Nîmes Garons,2,43.7613070,4.4274639,2,"[1013965167, 1651976773]"
Ondres,7,43.5415617,-1.4355904,2,"[1033354786, 1033354788]"
Lescar,9.1,43.3452483,-0.4188068,1,[1105868116]
Tonnay-Charente,33,45.9550186,-0.8811884,2,"[1116803661, 1116803670]"
Tulle Nord,20,45.3290189,1.7639661,1,[1125653080]
Tarare-Ouest,34,45.8916265,4.4031281,2,"[1204177181, 5203028269]"
Fontenay Ouest,7.1,46.4646302,-0.8767346,5,"[1335678463, 2241159339, 4001244342, 4001244343, 4001244344]"
Balbigny,33,45.8411009,4.1641534,2,"[1366555922, 1373820400]"
Bayonne Sud,5,43.4622534,-1.4984754,2,"[1371313435, 1371313436]"
Péage de La Négresse,Péage de La Négresse,43.4491731,-1.5537438,3,"[1371313449, 1371313451, 1371313452]"
Tarare Est-système-ouvert,35,45.8763081,4.5220540,2,"[1400972216, 1707784060]"
Eurocentre,10.1,43.7649417,1.3805023,9,"[1452208046, 1452208143, 4349032318, 4349032319, 4471741927, 4471741928, 4471741929, 4471741930, 4471741966]"
Saint-Jory,11,43.7183094,1.3981013,2,"[1452229755, 1452229766]"
Salon nord,27,43.6892359,5.0957518,1,[1457800884]
Villefranche-de-Lauragais,20,43.3985865,1.6962059,1,[1551709832]
Péage de Béziers-Cabrials,Péage de Béziers-Cabrials,43.3438596,3.2875375,2,"[1588137485, 1588137486]"
Narbonne Est,37,43.1790939,3.0348258,2,"[1669974371, 1669974392]"
Remoulins,23,43.9373087,4.5983631,2,"[1672388768, 1672388771]"
Roquemaure,22,44.0256301,4.7353923,2,"[1674020827, 1674020828]"
Béziers Ouest,36,43.3045630,3.2190641,2,"[1676618836, 1676618837]"
Péage de Saint-Romain-de-Popey,Péage de Saint-Romain-de-Popey,45.8719396,4.5088342,2,"[1707787330, 4422924493]"
Le Boulou,43,42.5237027,2.8173684,1,[1742991342]
Péage de Cabariot,Péage-de-Cabariot,45.9439955,-0.8491667,2,"[1767279376, 1767279383]"
Péage de Saint-Martin-de-Crau,Péage de Saint-Martin-de-Crau,43.6379262,4.8578292,2,"[1796885587, 1825203802]"
Le-Boulou,43,42.5236628,2.8176651,3,"[1987610456, 1987610457, 1987610458]"
Bram,22,43.2389340,2.0999074,2,"[2144776681, 2442483773]"
Artix,9,43.3950598,-0.5511787,2,"[2267204259, 2267204261]"
Perpignan Nord,41,42.7817287,2.8973351,2,"[2398039583, 2398039585]"
La Roche-sur-Yon,La Roche-sur-Yon,46.6725704,-1.3459591,2,"[3025678480, 3025678481]"
Orange Nord,20,44.1827577,4.7523129,1,[3903207118]
Aigrefeuille,3,47.0692661,-1.4374016,2,"[3903235081, 4088640522]"
Tulle Est,21,45.3181188,1.8503589,2,"[3922204754, 3922204755]"
Péage de Thénon,Péage-de-Thénon,45.1513597,1.1675897,4,"[3922783426, 3922783427, 3922783428, 3922783429]"
Niort Ouest,9,46.3878963,-0.6478799,5,"[4001140435, 4001140450, 4001140454, 4001140460, 4001140464]"
Vulcania-Bromont,26,45.8339019,2.8226170,1,[4255789073]
Chemillé,25,47.2359369,-0.7276426,1,[4422613638]
Tarare-Est-système-fermé,35,45.8719026,4.5088503,2,"[4422924492, 4422924495]"
Feurs,6,45.7375962,4.1862842,2,"[4422927258, 4422927259]"
Guiche,5,43.5123235,-1.2230649,2,"[6367151903, 6367151904]"
Thouarcé,24,47.3295057,-0.5963520,1,[6367778328]
