name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
ESCRENNES;Escrennes;8;48.1163900;2.1911176;2;[461625472, 3736753049];;close;APRR
ESVRES;Esvres;10;47.3071705;0.7960772;1;[61275307];;close;APRR
FEILLENS;Feillens;2;46.3288346;4.8824112;1;[469060027];;close;APRR
PEAGE DE FLEURY EN BIERE;Péage de Fleury-en-Bière;Péage de Fleury-en-Bière;48.4266295;2.5401807;3;[35675144, 1801078049, 1883772392];;close;APRR
FONTAINE LARIVIERE;Fontaine Larivière;Fontaine Larivière;47.6759680;6.9817416;2;[215113118, 215113122];;open;APRR
FONTAINEBLEAU;Fontainebleau;15;48.2896884;2.6832481;2;[456955619, 650926914];;close;APRR
FONTENAY SUR LOING;Fontenay-sur-Loing;5;48.0641618;2.7670794;2;[1339371506, 4332104483];;close;APRR
FORET DE TRONCAIS;Forêt-de-Tronçais;9;46.5064795;2.6303355;1;[327506022];;close;APRR
FORGES;Forges;17;48.4213725;2.9432973;2;[323144666, 324391958];;close;APRR
FRESNES EN WOEVRE;Fresnes-en-Woevre;32;49.1291065;5.6212762;2;[1387739267, 3921619586];;close;APRR
PEAGE DE GANNAT;Gannat;Gannat;46.0980771;3.1356526;2;[50771124, 429833002];;close;APRR
GENAY;Genay;Genay;45.9003691;4.8193610;2;[173269453, 173269485];;open;APRR
GENDREY;Gendrey;2.1;47.1835108;5.7088685;2;[2561189904, 2561189908];;close;APRR
GIDY;Saran-Gidy;13.1;47.9670494;1.8515589;2;[11380222931, 11380222932];;close;APRR
GONDREVILLE NORD;Gondreville;6;48.0607779;2.6676442;3;[4434463568, 4434463569, 6392046370];;close;APRR
GONDREVILLE SUD;Gondreville;6;48.0607779;2.6676442;3;[4434463567, 4434463570, 6392046377];;close;APRR
PEAGE DE GROISSIAT;Groissiat;Groissiat;46.2237181;5.6140918;7;[18267636, 18267637, 9247763979, 9247763980, 9247763981, 9247763982, 9247763993];;close;APRR
PEAGE DE GYE;Péage de Gye;Péage de Gye;48.6297148;5.8833117;2;[1482474156, 1482474157];;close;APRR
JARNY;Jarny;33;49.1999154;5.9016705;1;[1575874809];;close;APRR
JOIGNY;Joigny;18;47.9383172;3.2440930;4;[140090191, 247389529, 1430770870, 1825795624];;close;APRR
L ISLE SUR LE DOUBS;L'isle-sur-le-Doubs;6;47.4125179;6.5856079;2;[32699885, 32699891];;close;APRR
LA BOISE MONTUEL;La Boisse-Montuel;5.1;45.8407595;5.0469894;2;[773072337, 773072342];;close;APRR
