name;distance;price1;price2;price3;price4;price5
VEILLEVILLE;;0.7;2.0;2.1;2.2;0.5
ANCENIS DIR ANGERS;;5.2;8.9;14.4;16.8;3.2
ANCENIS DIR NANTES;;3.6;6.1;8.4;11.1;2.2
ANCENIS PEAGE;;10.3;16.0;24.5;32.9;6.1
