name_from;name_to;distance;price1;price2;price3;price4;price5
PEAGE DE TOURS CENTRE;SAINTE MAURE;;4.3;6.8;10.2;13.2;2.6
PEAGE DE TOURS CENTRE;CHATELLERAULT NORD;;8.2;12.4;20.9;28.8;5.4
PEAGE DE TOURS CENTRE;CHATELLERAULT SUD;;9.0;14.7;24.2;31.4;6.0
PEAGE DE TOURS CENTRE;FUTUROSCOPE;;11.3;17.6;28.0;37.2;7.3
PEAGE DE TOURS CENTRE;POITIERS NORD;;12.2;19.9;31.6;40.5;7.8
PEAGE DE TOURS CENTRE;POITIERS SUD;;14.6;21.5;34.5;46.4;9.0
PEAGE DE TOURS CENTRE;ST MAIXENT SOUDAN;;17.7;26.2;41.2;55.3;10.7
PEAGE DE TOURS CENTRE;NIORT EST;;20.2;30.4;48.0;64.5;12.5
PEAGE DE TOURS CENTRE;NIORT NORD;;21.1;31.8;49.4;66.3;13.1
PEAGE DE TOURS CENTRE;NIORT OUEST;;23.5;33.9;53.1;71.0;14.4
PEAGE DE TOURS CENTRE;FONTENAY CENTRE;;25.0;38.0;56.3;77.6;15.3
PEAGE DE TOURS CENTRE;FONTENAY OUEST;;25.6;38.1;57.9;78.5;15.4
PEAGE DE TOURS CENTRE;SAINTE HERMINE;;26.8;40.2;61.8;80.5;17.1
PEAGE DE TOURS CENTRE;CHANTONNAY;;29.4;44.1;65.6;89.0;17.6
PEAGE DE TOURS CENTRE;LES ESSARTS;;30.3;45.2;68.0;92.8;18.7
PEAGE DE TOURS CENTRE;PEAGE DE LA ROCHE SUR YON;;30.6;45.7;68.3;93.4;19.0
PEAGE DE TOURS CENTRE;LES HERBIERS;;31.1;47.9;71.2;95.6;19.0
PEAGE DE TOURS CENTRE;LA VERRIE;;31.3;48.1;71.4;95.8;19.2
PEAGE DE TOURS CENTRE;CHOLET SUD;;31.5;48.3;71.6;96.0;19.4
PEAGE DE TOURS CENTRE;CHOLET NORD;;31.7;48.5;73.3;97.1;19.6
PEAGE DE TOURS CENTRE;CHEMILLE;;33.2;50.4;76.7;102.3;20.2
PEAGE DE TOURS CENTRE;PEAGE DE BEAULIEU S LAYON;;35.6;53.7;81.0;108.3;21.6
PEAGE DE TOURS CENTRE;MONTAIGU;;31.7;47.8;72.6;97.0;19.7
PEAGE DE TOURS CENTRE;AIGREFEUILLE;;31.9;48.0;72.8;97.2;19.9
PEAGE DE TOURS CENTRE;PEAGE DU BIGNON;;32.1;48.2;73.0;97.4;20.1
PEAGE DE TOURS CENTRE;VOUILLE;;20.3;30.9;47.8;63.5;12.3
PEAGE DE TOURS CENTRE;LA ROCHELLE NIORT SUD;;22.7;33.4;49.9;68.0;13.6
PEAGE DE TOURS CENTRE;ST JEAN D ANGELY;;25.4;38.1;56.9;75.3;15.6
PEAGE DE TOURS CENTRE;SAINTES;;28.9;43.1;65.0;85.5;17.5
PEAGE DE TOURS CENTRE;PONS;;30.3;46.5;67.6;93.1;18.4
PEAGE DE TOURS CENTRE;MIRAMBEAU;;32.3;50.4;74.1;99.7;20.0
PEAGE DE TOURS CENTRE;ST AUBIN DE BLAYE;;34.0;51.8;77.2;102.9;20.9
PEAGE DE TOURS CENTRE;PEAGE DE VIRSAC;;34.6;53.0;78.5;104.1;21.4
SAINTE MAURE;PEAGE DE TOURS CENTRE;;4.3;6.8;10.2;13.2;2.6
SAINTE MAURE;CHATELLERAULT NORD;;2.6;4.3;8.8;9.2;2.0
SAINTE MAURE;CHATELLERAULT SUD;;2.8;4.8;9.1;10.2;2.1
SAINTE MAURE;FUTUROSCOPE;;5.2;7.8;13.1;16.0;3.3
SAINTE MAURE;POITIERS NORD;;6.0;9.7;17.9;19.7;3.8
SAINTE MAURE;POITIERS SUD;;8.1;13.0;20.1;26.4;5.3
SAINTE MAURE;ST MAIXENT SOUDAN;;11.2;17.7;26.8;35.3;7.0
SAINTE MAURE;NIORT EST;;13.7;21.9;33.6;44.5;8.8
SAINTE MAURE;NIORT NORD;;14.6;23.3;35.0;46.3;9.4
SAINTE MAURE;NIORT OUEST;;17.0;25.4;38.7;51.0;10.7
SAINTE MAURE;FONTENAY CENTRE;;18.5;29.5;41.9;57.6;11.6
SAINTE MAURE;FONTENAY OUEST;;19.1;29.6;43.5;58.5;11.7
SAINTE MAURE;SAINTE HERMINE;;20.3;31.7;47.4;60.5;13.4
SAINTE MAURE;CHANTONNAY;;22.9;35.6;51.2;69.0;13.9
SAINTE MAURE;LES ESSARTS;;23.8;36.7;53.6;72.8;15.0
SAINTE MAURE;PEAGE DE LA ROCHE SUR YON;;24.1;37.2;53.9;73.4;15.3
SAINTE MAURE;LES HERBIERS;;24.6;39.4;56.8;75.6;15.3
SAINTE MAURE;LA VERRIE;;24.8;39.6;57.0;75.8;15.5
SAINTE MAURE;CHOLET SUD;;25.0;39.8;57.2;76.0;15.7
SAINTE MAURE;CHOLET NORD;;25.2;40.0;58.9;77.1;15.9
SAINTE MAURE;CHEMILLE;;26.7;41.9;62.3;82.3;16.5
SAINTE MAURE;PEAGE DE BEAULIEU S LAYON;;29.1;45.2;66.6;88.3;17.9
SAINTE MAURE;MONTAIGU;;25.2;39.3;58.2;77.0;16.0
SAINTE MAURE;AIGREFEUILLE;;25.4;39.5;58.4;77.2;16.2
SAINTE MAURE;PEAGE DU BIGNON;;25.6;39.7;58.6;77.4;16.4
SAINTE MAURE;VOUILLE;;13.8;22.4;33.4;43.5;8.6
SAINTE MAURE;LA ROCHELLE NIORT SUD;;16.2;24.9;35.5;48.0;9.9
SAINTE MAURE;ST JEAN D ANGELY;;18.9;29.6;42.5;55.3;11.9
SAINTE MAURE;SAINTES;;22.4;34.6;50.6;65.5;13.8
SAINTE MAURE;PONS;;23.8;38.0;53.2;73.1;14.7
SAINTE MAURE;MIRAMBEAU;;25.8;41.9;59.7;79.7;16.3
SAINTE MAURE;ST AUBIN DE BLAYE;;27.5;43.3;62.8;82.9;17.2
SAINTE MAURE;PEAGE DE VIRSAC;;28.1;44.5;64.1;84.1;17.7
CHATELLERAULT NORD;PEAGE DE TOURS CENTRE;;8.2;12.4;20.9;28.8;5.4
CHATELLERAULT NORD;SAINTE MAURE;;2.6;4.3;8.8;9.2;2.0
CHATELLERAULT NORD;CHATELLERAULT SUD;;0.8;1.5;2.5;2.6;0.5
CHATELLERAULT NORD;FUTUROSCOPE;;2.3;3.9;5.7;7.1;1.4
CHATELLERAULT NORD;POITIERS NORD;;2.9;5.2;8.5;10.0;2.2
CHATELLERAULT NORD;POITIERS SUD;;4.7;7.6;13.2;15.5;3.2
CHATELLERAULT NORD;ST MAIXENT SOUDAN;;7.8;12.3;19.9;24.4;4.9
CHATELLERAULT NORD;NIORT EST;;10.3;16.5;26.7;33.6;6.7
CHATELLERAULT NORD;NIORT NORD;;11.2;17.9;28.1;35.4;7.3
CHATELLERAULT NORD;NIORT OUEST;;13.6;20.0;31.8;40.1;8.6
CHATELLERAULT NORD;FONTENAY CENTRE;;15.1;24.1;35.0;46.7;9.5
CHATELLERAULT NORD;FONTENAY OUEST;;15.7;24.2;36.6;47.6;9.6
CHATELLERAULT NORD;SAINTE HERMINE;;16.9;26.3;40.5;49.6;11.3
CHATELLERAULT NORD;CHANTONNAY;;19.5;30.2;44.3;58.1;11.8
CHATELLERAULT NORD;LES ESSARTS;;20.4;31.3;46.7;61.9;12.9
CHATELLERAULT NORD;PEAGE DE LA ROCHE SUR YON;;20.7;31.8;47.0;62.5;13.2
CHATELLERAULT NORD;LES HERBIERS;;21.2;34.0;49.9;64.7;13.2
CHATELLERAULT NORD;LA VERRIE;;21.4;34.2;50.1;64.9;13.4
CHATELLERAULT NORD;CHOLET SUD;;21.6;34.4;50.3;65.1;13.6
CHATELLERAULT NORD;CHOLET NORD;;21.8;34.6;52.0;66.2;13.8
CHATELLERAULT NORD;CHEMILLE;;23.3;36.5;55.4;71.4;14.4
CHATELLERAULT NORD;PEAGE DE BEAULIEU S LAYON;;25.7;39.8;59.7;77.4;15.8
CHATELLERAULT NORD;MONTAIGU;;21.8;33.9;51.3;66.1;13.9
CHATELLERAULT NORD;AIGREFEUILLE;;22.0;34.1;51.5;66.3;14.1
CHATELLERAULT NORD;PEAGE DU BIGNON;;22.2;34.3;51.7;66.5;14.3
CHATELLERAULT NORD;VOUILLE;;10.4;17.0;26.5;32.6;6.5
CHATELLERAULT NORD;LA ROCHELLE NIORT SUD;;12.8;19.5;28.6;37.1;7.8
CHATELLERAULT NORD;ST JEAN D ANGELY;;15.5;24.2;35.6;44.4;9.8
CHATELLERAULT NORD;SAINTES;;19.0;29.2;43.7;54.6;11.7
CHATELLERAULT NORD;PONS;;20.4;32.6;46.3;62.2;12.6
CHATELLERAULT NORD;MIRAMBEAU;;22.4;36.5;52.8;68.8;14.2
CHATELLERAULT NORD;ST AUBIN DE BLAYE;;24.1;37.9;55.9;72.0;15.1
CHATELLERAULT NORD;PEAGE DE VIRSAC;;24.7;39.1;57.2;73.2;15.6
CHATELLERAULT SUD;PEAGE DE TOURS CENTRE;;9.0;14.7;24.2;31.4;6.0
CHATELLERAULT SUD;SAINTE MAURE;;2.8;4.8;9.1;10.2;2.1
CHATELLERAULT SUD;CHATELLERAULT NORD;;0.8;1.5;2.5;2.6;0.5
CHATELLERAULT SUD;FUTUROSCOPE;;1.6;2.2;3.8;4.2;1.0
CHATELLERAULT SUD;POITIERS NORD;;2.2;3.9;5.3;6.1;1.4
CHATELLERAULT SUD;POITIERS SUD;;3.9;6.0;8.6;10.7;2.3
CHATELLERAULT SUD;ST MAIXENT SOUDAN;;7.0;10.7;15.3;19.6;4.0
CHATELLERAULT SUD;NIORT EST;;9.5;14.9;22.1;28.8;5.8
CHATELLERAULT SUD;NIORT NORD;;10.4;16.3;23.5;30.6;6.4
CHATELLERAULT SUD;NIORT OUEST;;12.8;18.4;27.2;35.3;7.7
CHATELLERAULT SUD;FONTENAY CENTRE;;14.3;22.5;30.4;41.9;8.6
CHATELLERAULT SUD;FONTENAY OUEST;;14.9;22.6;32.0;42.8;8.7
CHATELLERAULT SUD;SAINTE HERMINE;;16.1;24.7;35.9;44.8;10.4
CHATELLERAULT SUD;CHANTONNAY;;18.7;28.6;39.7;53.3;10.9
CHATELLERAULT SUD;LES ESSARTS;;19.6;29.7;42.1;57.1;12.0
CHATELLERAULT SUD;PEAGE DE LA ROCHE SUR YON;;19.9;30.2;42.4;57.7;12.3
CHATELLERAULT SUD;LES HERBIERS;;20.4;32.4;45.3;59.9;12.3
CHATELLERAULT SUD;LA VERRIE;;20.6;32.6;45.5;60.1;12.5
CHATELLERAULT SUD;CHOLET SUD;;20.8;32.8;45.7;60.3;12.7
CHATELLERAULT SUD;CHOLET NORD;;21.0;33.0;47.4;61.4;12.9
CHATELLERAULT SUD;CHEMILLE;;22.5;34.9;50.8;66.6;13.5
CHATELLERAULT SUD;PEAGE DE BEAULIEU S LAYON;;24.9;38.2;55.1;72.6;14.9
CHATELLERAULT SUD;MONTAIGU;;21.0;32.3;46.7;61.3;13.0
CHATELLERAULT SUD;AIGREFEUILLE;;21.2;32.5;46.9;61.5;13.2
CHATELLERAULT SUD;PEAGE DU BIGNON;;21.4;32.7;47.1;61.7;13.4
CHATELLERAULT SUD;VOUILLE;;9.6;15.4;21.9;27.8;5.6
CHATELLERAULT SUD;LA ROCHELLE NIORT SUD;;12.0;17.9;24.0;32.3;6.9
CHATELLERAULT SUD;ST JEAN D ANGELY;;14.7;22.6;31.0;39.6;8.9
CHATELLERAULT SUD;SAINTES;;18.2;27.6;39.1;49.8;10.8
CHATELLERAULT SUD;PONS;;19.6;31.0;41.7;57.4;11.7
CHATELLERAULT SUD;MIRAMBEAU;;21.6;34.9;48.2;64.0;13.3
CHATELLERAULT SUD;ST AUBIN DE BLAYE;;23.3;36.3;51.3;67.2;14.2
CHATELLERAULT SUD;PEAGE DE VIRSAC;;23.9;37.5;52.6;68.4;14.7
FUTUROSCOPE;PEAGE DE TOURS CENTRE;;11.3;17.6;28.0;37.2;7.3
FUTUROSCOPE;SAINTE MAURE;;5.2;7.8;13.1;16.0;3.3
FUTUROSCOPE;CHATELLERAULT NORD;;2.3;3.9;5.7;7.1;1.4
FUTUROSCOPE;CHATELLERAULT SUD;;1.6;2.2;3.8;4.2;1.0
FUTUROSCOPE;POITIERS NORD;;0.8;1.2;1.5;1.7;0.5
FUTUROSCOPE;POITIERS SUD;;1.8;3.0;5.0;5.1;1.1
FUTUROSCOPE;ST MAIXENT SOUDAN;;4.9;7.7;11.7;14.0;2.8
FUTUROSCOPE;NIORT EST;;7.4;11.9;18.5;23.2;4.6
FUTUROSCOPE;NIORT NORD;;8.3;13.3;19.9;25.0;5.2
FUTUROSCOPE;NIORT OUEST;;10.7;15.4;23.6;29.7;6.5
FUTUROSCOPE;FONTENAY CENTRE;;12.2;19.5;26.8;36.3;7.4
FUTUROSCOPE;FONTENAY OUEST;;12.8;19.6;28.4;37.2;7.5
FUTUROSCOPE;SAINTE HERMINE;;14.0;21.7;32.3;39.2;9.2
FUTUROSCOPE;CHANTONNAY;;16.6;25.6;36.1;47.7;9.7
FUTUROSCOPE;LES ESSARTS;;17.5;26.7;38.5;51.5;10.8
FUTUROSCOPE;PEAGE DE LA ROCHE SUR YON;;17.8;27.2;38.8;52.1;11.1
FUTUROSCOPE;LES HERBIERS;;18.3;29.4;41.7;54.3;11.1
