name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
CONDRIEU;Condrieu;10;45.5055132;4.8406636;2;[21562312, 635290239];;close;
PEAGE DE VIENNE;Péage de Vienne;Péage de Vienne;45.4761176;4.8330663;4;[130368, 13397120, 12288199204, 12752375307];;close;
AUBERIVES;Auberives Nord-Sud;;45.3898018;4.8053591;1;[130221205];;close;
CHANAS;Chanas;12;45.3211595;4.8098547;2;[16567653, 28128388];;close;
TAIN;Tain;13;45.0684081;4.8684133;2;[13382945, 15553152];;close;
VALENCE NORD;Valence Nord;14;44.9701995;4.8875504;2;[656078, 14961149];;close;
VALENCE SUD;Valence Sud;15;44.9049476;4.8801182;2;[655887, 655992];;close;
LORIOL;Loriol;16;44.756849;4.7912697;2;[650878, 26538223];;close;
MONTELIMAR NORD;Montélimar Nord;17;44.6689369;4.7949641;2;[14798265, 14798276];;close;
MONTELIMAR SUD;Montélimar Sud;18;44.4813385;4.7635161;2;[656776, 14960992];;close;
BOLLENE;Bollène;19;44.2902627;4.7509278;2;[14798007, 14798008];;close;
ORANGE NORD;Orange nord;20;44.1642263;4.7645828;1;[277451985];;close;
ORANGE CENTRE;Orange Centre;21;44.1353197;4.7956315;8;[656795, 448451541, 8394070485, 8394070486, 8394070487, 8394070488, 8394070489, 8394070490];;close;
ORANGE SUD;Orange Sud;22;44.1109575;4.8452452;2;[277281847, 8349621741];;close;
AVIGNON NORD;Avignon Nord;23;43.9820509;4.8884123;2;[154427, 1674101568];;close;
AVIGNON SUD;Avignon Sud;24;43.8929306;4.9158159;2;[154642, 21617587];;close;
CAVAILLON;Cavaillon;25;43.8199281;5.0278555;2;[26404247, 26404271];;close;
SENAS;Sénas;26;43.7420819;5.0898154;2;[246011442, 246213575];;close;
SALON NORD;Salon Nord;27;43.6594307;5.1025902;1;[308235934];;close;
SALON SUD;Salon Sud;15;43.6269017;5.106501;2;[308079844, 308777762];;close;
GRANS;Grans;14;43.6229698;5.0835304;2;[511439486, 1668541932];;close;
SALON OUEST;Salon Ouest;13;43.6363295;5.0228102;2;[308001966, 1456366661];;close;
PEAGE DE SAINT MARTIN DE CRAU;Péage de Saint-Martin-de-Crau;Péage de Saint-Martin-de-Crau;43.6379262;4.8578292;2;[1796885587, 1825203802];;close;
PEAGE DE LANCON;Péage de Lançon;Péage de Lançon;43.5937043;5.1747436;2;[26410395, 26410440];;close;
COUDOUX;Coudoux;28;43.5523405;5.2383307;3;[259970703, 259970749, 10616130411];;close;
ROQUEMAURE;Roquemaure;22;44.0256301;4.7353923;2;[1674020827, 1674020828];;close;
REMOULINS;Remoulins;23;43.9373087;4.5983631;2;[1672388768, 1672388771];;close;
NIMES EST;Nîmes Est;24;43.8560961;4.420576;2;[104534425, 3230734317];;close;
NIMES OUEST;Nîmes Ouest;25;43.8137306;4.3429068;2;[104513274, 104513419];;close;
NIMES CENTRE;Nîmes Centre;1;43.8074823;4.3744374;2;[300685333, 300688079];;close;
NIMES GARONS;Nîmes Garons;2;43.761307;4.4274639;2;[1013965167, 1651976773];;close;
PEAGE D ARLES;Péage d'Arles;Péage d'Arles;43.690342;4.5446514;2;[423746542, 1652042833];;close;
GALLARGUES;Gallargues;26;43.7229495;4.1810614;2;[103579675, 103585422];;close;
LUNEL;Lunel;27;43.7027498;4.1197187;2;[102968315, 102968801];;close;
PEAGE DE BAILLARGUES;Péage de Baillargues;Péage de Baillargues;43.6708729;4.0126478;2;[5555732, 5555734];;close;
